organisation,transparency_reg_id,source_date,meetings_total,meetings_commission,meetings_ep,amendment_number,target_element,target_type,committee,similarity_score,provision_effect,label,reasoning,n_chunks,conflict
Finance Denmark,20705158207-35,2023-09-06,2,2,0,541,Recital 76 b (new),recital,ECON,0.859316,"The amendment inserts a new recital establishing that the resilience (including cyber-resilience) of Union payment systems is a prerequisite for internal market stability, and that the digital euro must be equipped with mechanisms ensuring uninterrupted payment services during disruptions.",NOISE,"Finance Denmark's position focuses on the business case for issuing a digital euro, financial inclusion concerns, and access rules for visitors from non-euro countries — not on cyber-resilience or operational continuity mechanisms for the digital euro. While they mention ""stability and resilience of the European financial system"" in passing, this is framed as a reason for caution before issuance, not as a directional advocacy for equipping the digital euro with specific resilience/cyber-resilience mechanisms. An organisation with the opposite stance on the digital euro could produce equally matching text, making the connection too broad to be directional.",1,False
Finance Denmark,20705158207-35,2023-09-06,2,2,0,481,Recital 43 b (new),recital,ECON,0.851696,"The amendment inserts a new recital affirming that the digital euro should benefit companies and consumers, that retail payments must be efficient, convenient, safe, accessible and affordable, and that cash must continue to serve as a means of financial inclusion for vulnerable groups.",ALIGNED,"Finance Denmark explicitly states that a digital euro must benefit society as a whole, adding value to both individuals and businesses, and that it must remedy deficiencies not already covered by private solutions — directly mirroring the amendment's assertion that the digital euro should benefit companies and consumers and that payments must be efficient, accessible, and affordable. The organisation also raises financial inclusion concerns (noting digital exclusion as a real issue) and the continued role of cash, which the amendment specifically addresses by emphasising cash as a means of financial inclusion for vulnerable groups.",1,False
Finance Denmark,20705158207-35,2023-09-06,2,2,0,379,Recital 13,recital,ECON,0.848682,"The amendment adds a new sentence requiring proactive outreach to ensure the digital euro is accessible to vulnerable groups, marginalised communities, and underserved populations, and that citizens can understand, access, and use it effectively.",OPPOSING,"Finance Denmark explicitly argues that financial inclusion is not a widespread problem in the eurozone and that a digital euro cannot remedy digital inclusion issues, directly contradicting the amendment's thrust of mandating proactive outreach to vulnerable and underserved groups as a key objective. The amendment strengthens the financial/digital inclusion rationale for the digital euro, which Finance Denmark specifically disputes as a valid justification.",1,False
Finance Denmark,20705158207-35,2023-09-06,2,2,0,496,Recital 52,recital,ECON,0.864067,"The amendment adds a new sentence calling on the ECB to develop an intra-European real-time payment system independent of non-European cloud providers, going beyond the original text's focus on cross-currency payment arrangements.",NOISE,"Finance Denmark's matched position focuses on welcoming the requirement for active Member State requests and ECB agreements before the digital euro is used in non-euro countries — a governance/consent concern. The amendment instead introduces a new technical infrastructure requirement (an intra-European real-time payment system independent of non-European cloud providers), which is unrelated to Finance Denmark's expressed position. Finance Denmark takes no directional stance on ECB payment infrastructure or cloud provider independence.",1,False
Finance Denmark,20705158207-35,2023-09-06,2,2,0,1251,Article 31 b (new),article,ECON,0.863945,"The amendment inserts a new provision allowing the ECB or a national central bank, upon request from one or more Member States, to authorise emergency switching of digital euro payment and acquiring services between providers during severe disruptions.",ALIGNED,Finance Denmark explicitly welcomes the requirement that use of the digital euro in non-euro countries presupposes an active request from the Member State in question and an agreement involving the ECB. The amendment mirrors this exact mechanism — making ECB/NCB authorisation contingent on a request from Member States — which directly aligns with the org's stated preference for that safeguard structure.,1,False
Finance Denmark,20705158207-35,2023-09-06,2,2,0,1068,Article 21 – paragraph 2,article,ECON,0.858993,"The amendment strengthens the ECB's cooperation obligation with non-euro national central banks by adding the word ""actively,"" making the cooperation more proactive rather than merely passive.",ALIGNED,"Finance Denmark explicitly welcomes that the use of the digital euro in non-euro countries ""presupposes an active request"" and an agreement between the Member State's central bank and the ECB, signalling support for an active, deliberate engagement process. The amendment's insertion of ""actively"" into the ECB's cooperation obligation aligns with Finance Denmark's expressed preference for proactive, deliberate cooperation rather than a passive or default arrangement, consistent with their concern for financial and monetary stability in non-euro countries.",1,False
Finance Denmark,20705158207-35,2023-09-06,2,2,0,1067,Article 21 – paragraph 2,article,ECON,0.857266,"The amendment adds the qualifier ""to the extent that is possible"" to the ECB's obligation to cooperate with non-euro national central banks for interoperable payments, weakening the obligation from an absolute one to a conditional/best-efforts one.",UNDETECTABLE,"Finance Denmark welcomes that use of the digital euro in non-euro countries presupposes an active request and agreement between the Member State's central bank and the ECB, reflecting concern about financial and monetary stability — a position related to this area. However, their expressed concern is about the conditions and safeguards for non-euro country access, not specifically about whether the ECB's interoperability cooperation obligation should be absolute or qualified. It is genuinely unclear whether weakening the ECB's cooperation obligation (by adding ""to the extent that is possible"") satisfies, contradicts, or is orthogonal to their advocacy for safeguards on non-euro country access.",1,False
Finance Denmark,20705158207-35,2023-09-06,2,2,0,546,Recital 85 a (new),recital,ECON,0.854259,"The amendment inserts a new recital requiring the ECB and European Commission to closely monitor the regulation's application, report regularly to the European legislator, and reflect on potential new use cases for the digital euro, in light of CBDC implications for financial stability and bank business models.",ALIGNED,"Finance Denmark explicitly emphasizes the need for careful analysis before issuing a digital euro and expresses concern about implications for financial and monetary stability, welcoming oversight mechanisms. The amendment directly responds to these concerns by mandating ongoing monitoring and regular reporting to the legislator on financial stability implications and new use cases — aligning with the organisation's call for careful, evidence-based scrutiny of the digital euro's rollout.",1,False
BIZUM S.L.,266486245741-10,2023-09-07,2,0,2,590,Article 2 – paragraph 1 – point 28,article,ECON,0.860639,"The amendment replaces the original broad definition of 'user alias' with a more specific one that ties the alias to a digital euro payment account, issued by the ECB/national central banks upon PSP request, and introduces a mandatory alias (digital euro payment access number) plus optional proxy aliases at user request.",NOISE,"The matched chunk from Bizum's position is purely descriptive background about Bizum's business model, its directory-based proxy system, and its role in the digital euro advisory process — it contains no specific directional advocacy regarding how 'user alias' should be defined, who should issue aliases, or whether a mandatory alias structure should be introduced. There is no substantive stance that can be mapped to the direction of this amendment.",1,False
BIZUM S.L.,266486245741-10,2023-09-07,2,0,2,591,Article 2 – paragraph 1 – point 28,article,ECON,0.848513,"The amendment redefines 'user alias' from a generic pseudonymous identifier to a digital euro payment account-specific pseudonymous identifier generated by the ECB or national central banks, and introduces a mandatory compulsory alias plus optional proxy aliases linked to the account.",NOISE,"The matched chunk from Bizum's position is purely descriptive background — it explains how Bizum's own directory and alias system works and introduces the company, without expressing any specific directional advocacy on how the 'user alias' definition in the digital euro regulation should be structured (e.g., who should generate aliases, whether a compulsory alias should exist, or whether proxy aliases should be permitted). There is no substantive stance that can be mapped to the direction of this amendment.",1,False
