organisation,transparency_reg_id,source_date,meetings_total,meetings_commission,meetings_ep,amendment_number,target_element,target_type,committee,similarity_score,provision_effect,label,reasoning,n_chunks,conflict
Future of Life Institute (FLI),787064543128-10,2021-08-06,12,3,9,788,Article 1 – paragraph 1 – point a,article,CJ40,0.860067,"The amendment adds ""development"" as an explicit stage covered by the harmonised rules, alongside placing on the market, putting into service, and use of AI systems.",ALIGNED,"FLI explicitly advocates for a ""proactive governance approach to the development of AI"" and recommends the regulation address AI systems more broadly, suggesting coverage should extend earlier in the AI lifecycle. The amendment directly responds to this by inserting ""development"" as a regulated stage, expanding the scope of harmonised rules to cover AI systems before they reach the market.",1,False
Future of Life Institute (FLI),787064543128-10,2021-08-06,12,3,9,789,Article 1 – paragraph 1 – point a,article,CJ40,0.860067,"The amendment adds ""development"" as an explicit stage covered by the harmonised rules, alongside placing on the market, putting into service, and use of AI systems.",ALIGNED,"FLI explicitly advocates for a ""proactive governance approach to the development of AI"" and recommends the regulation address AI systems at earlier, more generalised stages — implying that rules should cover the development phase, not just market placement and use. The amendment directly responds to this by inserting ""development"" into the scope of harmonised rules.",1,False
Future of Life Institute (FLI),787064543128-10,2021-08-06,12,3,9,787,Article 1 – paragraph 1 – point a,article,CJ40,0.858711,"The amendment adds the qualifiers ""safe and trustworthy"" to describe the AI systems subject to harmonised rules, narrowing the scope to only safe and trustworthy AI systems rather than all AI systems.",NOISE,"The matched org text is introductory/background material describing FLI's identity and general commendation of the AI Act, with no specific directional stance on whether the harmonised rules should be qualified by ""safe and trustworthy."" The following context touches on general-purpose AI systems but does not advocate for or against adding safety/trustworthiness qualifiers to the scope provision.",1,False
Future of Life Institute (FLI),787064543128-10,2021-08-06,12,3,9,786,Article 1 – paragraph 1 – point a,article,CJ40,0.856862,"The amendment expands the scope of harmonised rules to cover not just placing on the market, putting into service, and use, but also development and deployment of AI systems, while adding the qualifiers ""human-centric and trustworthy"" to describe the AI systems covered.",NOISE,"The matched chunk from FLI's position paper is purely introductory/background text — it describes FLI's identity, commends the Commission for its proactive approach, and notes the significance of the AI Act, without expressing any specific directional stance on whether the scope of harmonised rules should be extended to cover development and deployment or whether AI systems should be characterised as ""human-centric and trustworthy."" The following context touches on general AI governance concerns and multi-purpose systems, but does not advocate specifically for the changes this amendment makes. A lobbying organisation with the opposite view could produce equally matching text.",1,False
Future of Life Institute (FLI),787064543128-10,2021-08-06,12,3,9,2999,Article 84 a (new),article,CJ40,0.856782,The amendment inserts a new reference to the Artificial Intelligence Act (harmonised rules on AI) where no such text previously existed.,NOISE,"The organisation's text is an introductory cover letter providing background on FLI and general commendation for the EU's proactive AI governance approach, without expressing a specific directional stance on the insertion of this particular cross-reference or recital. The matched chunk is essentially a title/header, and the following context is boilerplate introduction rather than substantive advocacy on this specific amendment.",1,False
Future of Life Institute (FLI),787064543128-10,2021-08-06,12,3,9,738,Recital 76,recital,CJ40,0.881861,"The amendment strengthens the European AI Board by replacing ""advisory tasks"" with broader ""tasks,"" adding independence, granting it binding decision-making powers in cross-border disputes and fundamental rights cases, and explicitly including guidance on amendments to annexes (including the high-risk AI systems list).",ALIGNED,"FLI explicitly advocated for expanding the AI Board's remit beyond coordination, giving it ""sufficient and appropriate powers,"" including the authority to implement changes to the Act's Annexes (specifically the high-risk systems list) and to act swiftly on emerging risks. The amendment directly responds to this by removing the ""advisory"" limitation, granting binding decision-making powers, and explicitly adding guidance on annex amendments — all directions FLI specifically called for.",1,False
Future of Life Institute (FLI),787064543128-10,2021-08-06,12,3,9,415,Recital 15,recital,CJ40,0.858984,"The amendment removes the introductory acknowledgment of AI's beneficial uses, adds a blanket prohibition on AI systems interfering with the essence of fundamental rights, clarifies that prohibitions apply notwithstanding existing Union law, and requires the Commission to keep the list of prohibited and high-risk AI systems under constant review.",ALIGNED,"FLI explicitly advocates for enhanced protections of fundamental rights (including lowering thresholds for manipulation and allowing complaints when fundamental rights are breached) and for future-proof regulation that keeps pace with technological development. The amendment directly responds to both directions: it adds a blanket prohibition on AI systems interfering with the essence of fundamental rights, and it requires the Commission to keep the prohibited/high-risk list under constant review — matching FLI's calls to strengthen fundamental rights protections and ensure the regulation adapts to future AI risks.",1,False
Future of Life Institute (FLI),787064543128-10,2021-08-06,12,3,9,328,Recital 3 a (new),recital,CJ40,0.851364,"The amendment inserts a new recital acknowledging AI's socioeconomic impacts (unemployment, poverty, pressure on social care) and calls for consideration of a Union AI Adjustment Fund to support social shielding, education, and alternative job creation.",NOISE,"FLI's position paper focuses on risk classification, fundamental rights protections, and innovation governance — it does not express any directional stance on socioeconomic adjustment mechanisms, unemployment impacts, or the creation of an AI Adjustment Fund. The matched chunk contains only high-level recommendations unrelated to the socioeconomic transition concerns addressed by this amendment.",1,False
Future of Life Institute (FLI),787064543128-10,2021-08-06,12,3,9,338,Recital 4 a (new),recital,CJ40,0.849203,"The amendment inserts a new recital requiring the AI Act to promote green and sustainable AI, placing environmental sustainability (including data sources, data centres, resource use, power supplies, and infrastructure) at the core of the EU AI framework throughout the AI lifecycle.",NOISE,"FLI's position paper focuses on risk-based regulation, generalised AI systems, fundamental rights, and innovation — it contains no substantive advocacy position on environmental sustainability or the carbon footprint of AI. The matched text is purely introductory/background material about FLI's identity, and the surrounding recommendations make no directional claims about green AI or environmental considerations. There is no basis to connect FLI's expressed positions to the direction of this amendment.",1,False
Future of Life Institute (FLI),787064543128-10,2021-08-06,12,3,9,922,Article 3 – paragraph 1 – point 1 a (new),article,CJ40,0.848397,"The amendment inserts a new definition of 'human-centric AI' into the regulation, grounding it in fundamental rights, human dignity, environmental consideration, and intergenerational sustainability.",NOISE,"The matched org text is largely introductory/background material describing FLI's identity and the AI Act's structure, with no specific directional stance on whether or how 'human-centric AI' should be defined. While FLI does advocate for fundamental rights protections elsewhere in its recommendations, those positions are not specific enough to the act of inserting this particular definition to constitute a directional advocacy position that the amendment responds to.",1,False
