organisation,transparency_reg_id,source_type,preproposal_meetings_total,preproposal_meetings_commission,preproposal_meetings_ep,article_type,article_number,article_title,similarity_score,provision_effect,label,reasoning,n_chunks,conflict
(FERMA) Federation of European Risk Management Associations ,018778010447-60,hys_feedback,0,0,0,article,10,,0.872538,"Establishes mandatory data governance and quality requirements for training, validation, and testing datasets used in high-risk AI systems, including rules on bias detection, data representativeness, and limited processing of special categories of personal data.",OPPOSING,"FERMA explicitly argues that the EU's existing data protection framework already accounts for safety and liability implications in this area, suggesting ""there is no need at present to add an additional layer of regulation."" Article 10 does precisely that — it adds a new, detailed layer of data governance and quality obligations on top of existing GDPR/data protection rules. While FERMA leaves open the possibility of future targeted measures, its baseline position is against additional regulation at this stage, which directly conflicts with what this provision establishes.",1,False
(FERMA) Federation of European Risk Management Associations ,018778010447-60,hys_feedback,0,0,0,article,13,,0.869376,"Requires high-risk AI systems to be sufficiently transparent and accompanied by detailed instructions for use, specifying the system's identity, capabilities, limitations, accuracy, risks, and human oversight measures.",ALIGNED,"FERMA explicitly advocates for ""reasonable transparency requirements"" combined with mandatory requirements for high-risk AI applications aligned to risks in liability and fundamental rights. Article 13 directly delivers on this by establishing concrete transparency and information disclosure obligations specifically for high-risk AI systems, which aligns with FERMA's specific ask for mandatory requirements targeting high-risk AI.",1,False
(FERMA) Federation of European Risk Management Associations ,018778010447-60,hys_feedback,0,0,0,article,14,,0.866905,"Requires that high-risk AI systems be designed with human oversight mechanisms, enabling individuals to monitor, interpret, override, or interrupt the AI system's operation to prevent risks to health, safety, or fundamental rights.",ALIGNED,"FERMA explicitly advocates for a ""human-in-the-loop"" approach for high-risk AI, stating that humans should maintain substantive control over decision-making processes and that decisions dealing with fundamental rights should be verified or reviewable by a human. Article 14 directly establishes mandatory human oversight requirements for high-risk AI systems, including the ability to override, interrupt, and verify AI outputs — precisely the kind of human control mechanism FERMA advocated for.",1,False
(FERMA) Federation of European Risk Management Associations ,018778010447-60,hys_feedback,0,0,0,article,20,,0.845055,"Requires providers of high-risk AI systems to retain automatically generated logs for an appropriate period, with specific obligations for credit institutions under Directive 2013/36/EU.",NOISE,"FERMA's position paper expresses only general support for a risk-based approach to AI legislation and a commitment to work with the Commission, without taking any specific stance on logging requirements or record-keeping obligations for high-risk AI systems. The org text contains no directional advocacy position that can be meaningfully evaluated against this specific provision.",1,False
(FERMA) Federation of European Risk Management Associations ,018778010447-60,hys_feedback,0,0,0,article,26,,0.863907,"Establishes specific obligations for importers of high-risk AI systems, including ensuring conformity assessments, technical documentation, conformity markings, and cooperation with national competent authorities.",NOISE,"FERMA's position advocates broadly for mandatory requirements for high-risk AI, transparency, ex-ante risk assessments, and market monitoring — but does not express any specific stance on importer obligations. The provision deals specifically with the duties of importers in the supply chain, a subject on which FERMA's text takes no directional position.",1,False
(FERMA) Federation of European Risk Management Associations ,018778010447-60,hys_feedback,0,0,0,article,29,,0.867288,"Establishes specific obligations for users of high-risk AI systems, including following instructions of use, monitoring system operation, keeping logs, suspending use when risks are identified, and using AI-provided information for data protection impact assessments.",OPPOSING,"FERMA explicitly argues that existing EU data protection frameworks (including GDPR) already account for safety and liability implications of AI, suggesting no additional layer of regulation is needed at present. Article 29 imposes a concrete new layer of regulatory obligations on high-risk AI users (monitoring, logging, suspension duties, etc.) — precisely the kind of additional regulation FERMA argues is currently unnecessary, making this an opposing match.",1,False
(FERMA) Federation of European Risk Management Associations ,018778010447-60,hys_feedback,0,0,0,article,53,,0.873583,"Establishes AI regulatory sandboxes as controlled environments for developing, testing, and validating innovative AI systems under competent authority supervision, with specific rules on liability, data protection coordination, and reporting.",NOISE,"The org text discusses safety, liability, and data protection concerns around AI regulation in general terms, expressing cautious openness to future targeted measures but no specific position on regulatory sandboxes. The passage does not advocate for or against the creation of AI regulatory sandboxes, making it impossible to assess directional alignment with this provision.",1,False
(FERMA) Federation of European Risk Management Associations ,018778010447-60,hys_feedback,0,0,0,article,59,,0.854694,"Requires each Member State to designate national competent authorities with adequate resources, expertise, and responsibilities for supervising and implementing the AI Regulation.",NOISE,"FERMA's position paper expresses general support for a risk-based approach to AI legislation and commits to working with the Commission, but does not take any specific stance on the designation, structure, resourcing, or powers of national competent authorities. The org text contains no directional advocacy position that can be evaluated against this provision's concrete requirements.",1,False
(FERMA) Federation of European Risk Management Associations ,018778010447-60,hys_feedback,0,0,0,article,61,,0.872792,"Requires providers of high-risk AI systems to establish, document, and actively operate a post-market monitoring system that collects and analyses performance data throughout the system's lifetime to ensure continuous compliance.",ALIGNED,"FERMA explicitly advocates for a combination of ex-ante and ex-post mechanisms, close market monitoring due to AI's ability to learn and adapt, and ex-ante compliance requirements covering all life cycle phases — all of which align with the provision's establishment of a mandatory post-market monitoring system for high-risk AI throughout its lifetime. The provision directly delivers the kind of ongoing, lifecycle-based monitoring FERMA called for to address AI's adaptive nature.",2,False
(FERMA) Federation of European Risk Management Associations ,018778010447-60,hys_feedback,0,0,0,article,65,,0.869722,"Establishes a procedure for market surveillance authorities to evaluate, and where necessary require corrective action, withdrawal, or recall of AI systems presenting a risk at national level, with coordination mechanisms across Member States and the Commission.",ALIGNED,"FERMA explicitly advocates for a ""light-touch ex-post enforcement mechanism"" combined with ""market monitoring by an existing institution or agency at European level,"" and the provision establishes exactly such an ex-post market surveillance and enforcement mechanism coordinated at both national and EU level. The provision's corrective action, withdrawal, and cross-border coordination procedures directly respond to FERMA's call for market monitoring and enforcement aligned with risk to fundamental rights and liability.",3,False
(FERMA) Federation of European Risk Management Associations ,018778010447-60,hys_feedback,0,0,0,article,67,,0.873656,"Establishes a procedure whereby market surveillance authorities can require operators to withdraw or recall AI systems that, despite being compliant with the Regulation, still present risks to health, safety, fundamental rights, or public interest, with Commission oversight of national measures taken.",ALIGNED,"FERMA explicitly advocates for a combination of ex-ante and ex-post enforcement mechanisms alongside close market monitoring to address AI risks, which aligns with Article 67's establishment of a concrete ex-post market surveillance and corrective action mechanism. The provision directly implements the kind of post-market enforcement tool FERMA called for to manage AI's evolving, adaptive risks in real-world conditions.",2,False
(FERMA) Federation of European Risk Management Associations ,018778010447-60,hys_feedback,0,0,0,article,7,,0.883249,"Empowers the Commission to adopt delegated acts to add new high-risk AI systems to Annex III based on specific risk criteria related to health, safety, and fundamental rights.",ALIGNED,"FERMA explicitly states it ""would not rule out seeing a future need for specific targeted measures to remedy concerns"" in high-risk AI areas, while cautioning against adding unnecessary regulatory layers at present. The provision creates a delegated act mechanism allowing the Commission to add new high-risk AI systems only when specific risk thresholds are met — a targeted, conditional approach that aligns with FERMA's position of leaving room for future specific measures without imposing blanket additional regulation upfront.",1,False
(FERMA) Federation of European Risk Management Associations ,018778010447-60,hys_feedback,0,0,0,article,72,,0.847818,"Establishes a regime of administrative fines (up to €500,000 or €250,000) that the European Data Protection Supervisor may impose on Union institutions, agencies, and bodies for non-compliance with AI Act requirements.",NOISE,"FERMA's position paper expresses general support for a risk-based approach to AI legislation and commits to working with the Commission on that basis, but contains no specific advocacy position on administrative fines, their levels, or enforcement mechanisms against Union institutions. The org text is a general endorsement of the Commission's direction without any directional stance on the specific subject matter of this provision.",1,False
American Chamber of Commerce to the European Union (AmCham EU),5265780509-97,hys_feedback,1,1,0,article,48,,0.848534,"Requires providers of high-risk AI systems to draw up and maintain a written EU declaration of conformity for 10 years, stating compliance with Chapter 2 requirements, and empowers the Commission to update its content via delegated acts.",NOISE,"The org's position focuses on advocating for a risk-based, use-case-specific approach to AI regulation and a narrow definition of high-risk AI systems, but does not express any specific stance on EU declarations of conformity, record-keeping obligations, or the administrative conformity documentation requirements established by this article. The org's general support for targeted regulation of high-risk AI is too broad to constitute a specific advocacy position on this particular conformity declaration mechanism.",1,False
Amsterdam AI Technology for People,764189838543-45,hys_feedback,0,0,0,article,48,,0.849345,"Requires providers of high-risk AI systems to draw up and maintain an EU declaration of conformity for 10 years, stating compliance with Chapter 2 requirements, and empowers the Commission to update its content via delegated acts.",NOISE,"The organisation's position consists of high-level principles — evidence-based regulation, proportionality, fundamental rights compliance, fair compliance cost distribution — without any specific stance on EU declarations of conformity or the documentation/conformity assessment mechanism this article establishes. These are general values that do not constitute a directional advocacy position on this specific provision.",1,False
Amsterdam AI Technology for People,764189838543-45,hys_feedback,0,0,0,article,72,,0.849966,"Establishes a regime of administrative fines (up to 500,000 EUR or 250,000 EUR) imposed by the European Data Protection Supervisor on Union institutions, agencies, and bodies for non-compliance with AI Act requirements, including procedural safeguards for the parties concerned.",NOISE,"The organisation's position consists of high-level principles (evidence-based regulation, proportionality, fundamental rights, fair playing field, fair distribution of compliance costs) without any specific stance on administrative fines for Union institutions or the EDPS enforcement mechanism. None of the bullet points address or take a directional position on the specific fine regime established by this article, making the text too general to constitute substantive advocacy on this provision's subject matter.",1,False
Amsterdam AI Technology for People,764189838543-45,hys_feedback,0,0,0,article,82,,0.85033,"Requires that implementing acts for vehicle type-approval concerning AI safety components take into account the high-risk AI requirements set out in the AI Act (Title III, Chapter 2).",NOISE,"The organisation's text contains only broad, general principles about AI regulation (evidence-based intervention, proportionality, fundamental rights, fair playing field, compliance costs) without any specific advocacy position on the intersection of the AI Act with vehicle type-approval regulation or safety components in automotive contexts. None of the stated principles are directional enough to evaluate whether this specific amendment to Regulation (EU) 2019/2144 responds to them — any organisation broadly supportive of AI regulation could produce the same text regardless of their stance on this provision.",1,False
Association for Financial Markets in Europe (AFME),65110063986-76,hys_feedback,0,0,0,article,1,,0.86738,"Establishes the subject matter of the AI Regulation, including harmonised rules for AI systems, prohibitions of certain AI practices, specific requirements for high-risk AI systems, transparency rules, and market surveillance rules.",ALIGNED,"AFME explicitly supports a risk-based approach focused on 'high-risk' AI applications and limiting requirements to those posing real risks to citizens, which directly aligns with the provision's establishment of specific requirements for high-risk AI systems as a central pillar of the regulation. The provision concretely delivers the high-risk focused framework that AFME advocated for, rather than a broad technology-specific or blanket regulatory approach.",1,False
Association for Financial Markets in Europe (AFME),65110063986-76,hys_feedback,0,0,0,article,41,,0.862468,"Establishes a mechanism for the Commission to adopt common specifications for high-risk AI systems via implementing acts when harmonised standards are absent or insufficient, with compliance presumed for systems meeting those specifications.",NOISE,"AFME's text expresses general support for focusing regulation on high-risk AI applications and on safety/fundamental rights, but does not take any specific position on the mechanism of common specifications or the Commission's power to adopt them via implementing acts. The org's advocacy is too broad and directionally unrelated to the specific technical standardisation mechanism established by this provision.",1,False
Association for Financial Markets in Europe (AFME),65110063986-76,hys_feedback,0,0,0,article,52,,0.869998,"Establishes transparency and disclosure obligations for AI systems interacting with natural persons, including requirements to inform users they are interacting with AI, disclose emotion recognition and biometric categorisation systems, and label deep fake content.",NOISE,"AFME's position advocates for a risk-based, high-risk-focused approach to AI regulation rather than technology-specific rules, but does not express any specific stance on transparency or disclosure obligations for AI systems interacting with natural persons, deep fakes, or emotion recognition. The org text is a general advocacy position about regulatory scope and approach, with no directional stance on the specific transparency mechanisms established in Article 52.",1,False
Association for Financial Markets in Europe (AFME),65110063986-76,hys_feedback,0,0,0,article,56,,0.842518,Establishes the European Artificial Intelligence Board to provide advice and assistance to the Commission and ensure consistent application of the AI Regulation across national supervisory authorities.,NOISE,"The org's position focuses on advocating for a technology-neutral, principles-based regulatory approach and concerns about innovation barriers — it does not express any specific stance on the creation or structure of a supervisory/advisory board. The org text contains no directional advocacy position regarding the establishment of the European AI Board or its governance functions.",1,False
Association for Financial Markets in Europe (AFME),65110063986-76,hys_feedback,0,0,0,article,7,,0.877019,"Empowers the Commission to adopt delegated acts to update the list of high-risk AI systems in Annex III based on specific risk criteria related to health, safety, and fundamental rights.",ALIGNED,"AFME explicitly supports focusing regulation on 'high-risk' AI applications with an appropriately defined definition of 'high-risk', and notes the need for clear criteria to determine which AI systems fall into that category and how those criteria would be kept up to date. The provision directly responds to this by establishing a delegated act mechanism with specific criteria (intended purpose, extent of use, severity of harm, vulnerability of affected persons, etc.) to update the high-risk list — precisely the kind of criteria-based, updatable framework AFME called for.",1,False
