organisation,transparency_reg_id,source_date,meetings_total,meetings_commission,meetings_ep,amendment_number,target_element,target_type,committee,similarity_score,provision_effect,label,reasoning,n_chunks,conflict
Danish Institute for Human Rights,257612138504-68,2022-04-06,2,0,2,363,Recital 25,recital,JURI,0.900128,The amendment replaces the reference to specific international conventions listed in the Annex (with a catch-all for unlisted rights) with references to the OECD Due Diligence Guidelines for Multinational Enterprises and UN Guiding Principles as the basis for human rights and environmental due diligence obligations.,OPPOSING,"The organisation explicitly welcomes that the proposal draws from the UNGPs and OED Guidelines, but its specific concern about material scope is that the Annex-based presentation of rights deviates from conventional international human rights instruments and may create interpretive gaps — implying it wants the Annex to be better aligned with those instruments, not replaced. More critically, the amendment removes the broader catch-all coverage for rights not specifically listed in the Annex, which the original text provided; the organisation's position advocates for comprehensive material scope aligned with international frameworks, whereas the amendment narrows the textual basis and eliminates the catch-all provision, moving in the opposite direction from the organisation's call for broader, more robust coverage.",1,False
Danish Institute for Human Rights,257612138504-68,2022-04-06,2,0,2,369,Recital 27,recital,JURI,0.892237,"The amendment adds ""prioritise"" and ""remedy"" to the list of due diligence steps companies must take regarding adverse human rights and environmental impacts, strengthening the obligations beyond the original text.",UNDETECTABLE,"The organisation advocates for stronger due diligence requirements aligned with UNGPs, including stakeholder involvement and policy commitments, and mentions the ""need to ensure prioritisation of action"" in passing. However, the org's matched text focuses primarily on policy commitment, public disclosure, and stakeholder involvement in policy development — not specifically on adding ""prioritise"" or ""remedy"" as explicit due diligence steps. While there is a genuine thematic connection (the org supports stronger due diligence obligations), it is genuinely unclear whether this specific directional change — inserting ""prioritise"" and ""remedy"" into the recital — directly responds to the org's stated advocacy positions.",1,False
Danish Institute for Human Rights,257612138504-68,2022-04-06,2,0,2,367,Recital 27,recital,JURI,0.891301,"The amendment changes ""value chains"" to ""supply chains,"" narrows the scope of adverse impacts to those companies ""cause or contribute to,"" replaces ""complaints procedure"" with ""notification procedure,"" and adds a competition law caveat to public communication on due diligence.",OPPOSING,"The organisation explicitly advocates for making the due diligence policy public and for broad stakeholder involvement, whereas the amendment introduces a competition law caveat that limits what companies must disclose publicly — directly contradicting the org's position that the due diligence policy should be made public. Additionally, replacing ""complaints procedure"" with ""notification procedure"" weakens the mechanism for affected stakeholders to raise concerns, which runs counter to the org's emphasis on stakeholder engagement and robust due diligence processes.",1,False
Danish Institute for Human Rights,257612138504-68,2022-04-06,2,0,2,368,Recital 27,recital,JURI,0.894192,"The amendment replaces ""potential"" adverse impacts with ""foreseeable, based on the state of knowledge"" adverse impacts, narrowing the scope of impacts companies must address from all potential impacts to only those that are foreseeable given current knowledge.",NOISE,"The organisation's matched text focuses on stakeholder involvement in due diligence policy development, public disclosure of the policy, and the identification of actual and potential impacts broadly — it does not take any directional stance on whether the threshold for adverse impacts should be ""potential"" versus ""foreseeable based on the state of knowledge."" The org's position is not specific enough to determine whether it would support or oppose this narrowing of scope.",1,False
Danish Institute for Human Rights,257612138504-68,2022-04-06,2,0,2,316,Recital 16,recital,JURI,0.885748,"The amendment replaces ""potential"" adverse impacts with ""foreseeable"" adverse impacts (based on the state of knowledge) in step 3 of the due diligence process, narrowing the scope of impacts companies must prevent, cease, or minimise.",NOISE,"The organisation's matched text is an executive summary providing general commentary on the proposal's scope, personal coverage, and alignment with international frameworks (UNGPs, OECD Guidelines), with no specific directional stance on whether ""potential"" versus ""foreseeable"" impacts should be used in step 3 of the due diligence process. The org text does not address this specific distinction at all, making it impossible to determine whether they would support or oppose this narrowing change.",1,False
Danish Institute for Human Rights,257612138504-68,2022-04-06,2,0,2,357,Recital 22,recital,JURI,0.900058,"The amendment removes the financial sector's exclusion from the high-impact category and instead includes the provision of financial services (loans, credits, insurance, investment services, etc.) as a high-impact sector alongside textiles, agriculture, and extractives.",ALIGNED,"The organisation explicitly notes that ""the financial sector is excluded from the high-impact category despite being the subject of OECD guidance,"" implying this exclusion is inconsistent and problematic. The amendment directly corrects this by including financial services in the high-impact sector list, which is precisely the direction the organisation's critique points toward.",1,False
Danish Institute for Human Rights,257612138504-68,2022-04-06,2,0,2,356,Recital 22,recital,JURI,0.887663,"The amendment expands the list of high-impact sectors by adding wearing apparel, retail trade, marketing/advertising of food, animal products, energy, construction, financial services, ICT/digital services, and tourism/hospitality to the original narrower list.",UNDETECTABLE,"The organisation notes that the financial sector is excluded from the high-impact category despite being covered by OECD guidance, implying a concern about the narrowness of the high-impact sector list. The amendment does expand the list significantly, including adding financial services. However, the organisation's matched text does not clearly advocate for expanding the high-impact sector list in this direction — it focuses more on the reduced personal scope and SME issues rather than specifically calling for the addition of these sectors. There is a genuine connection (the org flags the financial sector exclusion, which the amendment partially addresses), but it is unclear whether the amendment's broader expansion satisfies the org's position.",1,False
Danish Institute for Human Rights,257612138504-68,2022-04-06,2,0,2,354,Recital 22,recital,JURI,0.8804,"The amendment removes the enumerated list of high-impact sectors from recital 22 and changes the language describing the financial sector's coverage from ""potential"" adverse impacts to ""foreseeable"" adverse impacts (based on the state of knowledge).",NOISE,"The organisation's matched text describes and critiques the high-impact sector designations and the financial sector's exclusion from that category, but does not take a specific directional stance on either the removal of the enumerated sector list from the recital or the substitution of ""potential"" with ""foreseeable"" adverse impacts in the financial sector context — which are the two concrete changes the amendment makes. The org's position is descriptive and broadly critical of the proposal's personal scope, without advocating specifically for or against the direction of either change introduced by this amendment.",1,False
Danish Institute for Human Rights,257612138504-68,2022-04-06,2,0,2,449,Recital 47,recital,JURI,0.877981,"The amendment adds new text incentivizing SMEs to voluntarily apply due diligence frameworks, including through public procurement rating systems and labelling schemes for out-of-scope companies that comply with due diligence obligations.",ALIGNED,"The organisation specifically called for ""sufficient incentives"" to encourage SMEs to engage in due diligence and recommended ensuring ""the right balance of incentives to encourage SMEs to engage in their own due diligence."" The amendment directly responds to this by introducing concrete incentive mechanisms (public procurement ratings and labelling systems) for SMEs that voluntarily adopt due diligence, moving the text in exactly the direction the organisation advocated.",1,False
Danish Institute for Human Rights,257612138504-68,2022-04-06,2,0,2,448,Recital 47,recital,JURI,0.875638,"The amendment strengthens the language around SME support by adding ""heavily"" and ""immense"" to describe the burden, making Member State financial support mandatory (""should"" instead of ""could""), and adding specificity around platform information provision, while also making it obligatory for business partners to support SMEs.",ALIGNED,"The organisation specifically called for clearer guidance on the circumstances in which SMEs receive support from business partners and for sufficient incentives to encourage SME engagement in due diligence. The amendment responds to this by strengthening the obligation on Member States to financially support SMEs (changing ""could"" to ""should"") and making it mandatory for business partners to support SMEs (""should also"" instead of ""are also encouraged to""), which directly addresses the org's concern about insufficient incentives and lack of clarity around SME support mechanisms.",1,False
