organisation,transparency_reg_id,source_type,preproposal_meetings_total,preproposal_meetings_commission,preproposal_meetings_ep,article_type,article_number,article_title,similarity_score,provision_effect,label,reasoning,n_chunks,conflict
5Rights Foundation,,hys_feedback,0,0,0,article,26,Risk assessment,0.866499,"Requires very large online platforms to conduct annual systemic risk assessments covering illegal content, fundamental rights (including children's rights), and intentional manipulation, taking into account how their content moderation, recommender, and advertising systems contribute to those risks.",ALIGNED,"The 5Rights Foundation explicitly advocates for mandatory ""Child Impact Assessments"" on online platforms to identify and mitigate risks to children, drawing on frameworks like GDPR's DPIAs and UN human rights due diligence principles. Article 26 directly delivers a mandatory annual risk assessment requirement for very large online platforms that explicitly includes risks to children's rights (Article 24 of the Charter) and how platform systems contribute to those risks — closely mirroring the org's specific ask for routine, structured risk assessments focused on child safety.",1,False
AFEP (French Association of Large Companies),953933297-85,hys_feedback,0,0,0,article,1,Subject matter and scope,0.875502,"Establishes the subject matter, scope, and aims of the Digital Services Act regulation, including its territorial application to intermediary services provided to recipients in the Union regardless of where providers are established, and a framework for conditional liability exemptions and due diligence obligations.",ALIGNED,"AFEP explicitly advocated for extending the scope of the regulation to services provided to recipients on European territory by providers not established in the Union — which is precisely what Article 1(3) delivers. Additionally, AFEP called for maintaining the principle of limited liability for hosting providers while clarifying the legal framework, which aligns with Article 1(1)(a)'s establishment of a conditional liability exemption framework.",2,False
AFEP (French Association of Large Companies),953933297-85,hys_feedback,0,0,0,article,2,Definitions,0.875646,"Establishes definitions for key terms used in the Regulation, including 'illegal content', 'intermediary service', 'hosting service', 'online platform', and the criteria for 'offering services in the Union' (including providers established outside the EU).",ALIGNED,"AFEP explicitly advocated for extending the scope to hosting service providers established outside the EU and for clarifying the definition of 'illegal content' — both of which are directly addressed in Article 2. The provision defines 'illegal content' in line with AFEP's described understanding, and establishes criteria for 'offering services in the Union' that capture providers without an EU establishment (based on significant user numbers or targeting of activities), directly responding to AFEP's ask to extend the scope beyond EU-established providers.",1,False
AFEP (French Association of Large Companies),953933297-85,hys_feedback,0,0,0,article,40,Jurisdiction,0.848714,"Establishes jurisdiction rules for intermediary service providers, including that non-EU providers are subject to the jurisdiction of the Member State where their legal representative resides or is established.",ALIGNED,"AFEP explicitly advocates for extending the scope of the regulation to services supplied by providers not established in the Union but offering services to recipients on European territory. Article 40(2) directly delivers this by placing non-EU providers under the jurisdiction of the Member State where their legal representative is established, effectively bringing them within the regulatory framework — precisely the extension of scope AFEP called for.",1,False
AFEP (French Association of Large Companies),953933297-85,hys_feedback,0,0,0,article,5,Hosting,0.879533,"Establishes conditional liability exemption for hosting service providers who lack knowledge of illegal content or act expeditiously to remove it, with carve-outs for providers acting under authority/control and for consumer-facing platforms that present information in a misleading way.",ALIGNED,"AFEP explicitly advocates for maintaining the principle of limited liability for hosting service providers while clarifying its scope, which is precisely what Article 5 does — it preserves the conditional liability exemption from the E-Commerce Directive and refines its scope with specific carve-outs. The provision directly responds to AFEP's ask to maintain and clarify the limited liability principle.",1,False
AFEP (French Association of Large Companies),953933297-85,hys_feedback,0,0,0,article,68,Representation,0.84876,"Establishes the right of recipients of intermediary services to mandate not-for-profit bodies or organisations to exercise complaint and redress rights on their behalf, subject to specific conditions.",NOISE,"The organisation's position focuses on the definition of illegal content, limited liability of hosting providers, the no general monitoring obligation principle, and the extension of scope to non-EU providers. None of these positions address or relate to the collective redress/representation mechanism established in Article 68. The org text contains no substantive advocacy position on the right of recipients to mandate bodies to exercise rights on their behalf.",2,False
AIM European Brands Association (AIM),1074382679-01,hys_feedback,1,0,1,article,20,Measures and protection against misuse,0.869747,"Requires online platforms to suspend services to recipients who frequently provide manifestly illegal content, and to suspend processing of notices/complaints from those who frequently submit manifestly unfounded notices, with case-by-case assessment and transparent terms and conditions policies.",ALIGNED,"AIM explicitly advocates that platforms should ""act more efficiently and more forcefully against repeat offenders,"" which directly corresponds to Article 20's mechanism for suspending services to recipients who frequently provide manifestly illegal content. AIM also calls for platforms to clearly prohibit known fraudulent behaviours in their Terms and Conditions, which aligns with Article 20(4)'s requirement to set out misuse policies in terms and conditions.",1,False
AIM European Brands Association (AIM),1074382679-01,hys_feedback,1,0,1,article,44,Activity reports,0.860078,Requires Digital Services Coordinators to produce and publish annual activity reports covering orders to act against illegal content and orders to provide information issued by national authorities.,NOISE,"The org text provided is essentially a table of contents with high-level topic headings and no substantive advocacy position on reporting obligations or transparency mechanisms for Digital Services Coordinators. While the org's broader concerns relate to illegal goods and platform obligations, the text contains no specific directional stance on annual activity reports that could be evaluated against this provision.",1,False
AIM European Brands Association (AIM),1074382679-01,hys_feedback,1,0,1,article,68,Representation,0.84963,"Establishes the right of recipients of intermediary services to mandate a not-for-profit body or organisation to exercise complaint and redress rights on their behalf, subject to specific conditions.",NOISE,"The organisation's text is a descriptive annex summarising recent legislation affecting platform obligations (New Deal for Consumers, P2B Regulation, Unfair Trading Practices Directive, Market Surveillance Directive) without expressing any specific advocacy position on collective representation rights for recipients of intermediary services. It contains no directional stance on whether such a representation mechanism should or should not exist, making it background/informational content rather than a substantive advocacy position relevant to this provision.",1,False
AIM European Brands Association (AIM),1074382679-01,hys_feedback,1,0,1,article,9,Orders to provide information,0.856551,"Establishes requirements for national authorities' orders to intermediary service providers to provide specific information about recipients, including conditions on proportionality, redress, and language, and requires providers to comply and inform authorities of receipt.",NOISE,"The organisation's text is a descriptive annex summarising recent legislation affecting platform obligations (e.g., New Deal for Consumers, P2B Regulation, Unfair Trading Practices Directive, Market Surveillance Directive) without expressing any specific advocacy position on information orders issued by national authorities to intermediary services. The text contains no directional stance on the mechanism established in Article 9; it is background/contextual material rather than a substantive lobbying position.",1,False
