organisation,transparency_reg_id,source_type,preproposal_meetings_total,preproposal_meetings_commission,preproposal_meetings_ep,article_type,article_number,article_title,similarity_score,provision_effect,label,reasoning,n_chunks,conflict
AB Electrolux,,hys_feedback,0,0,0,article,29,Review,0.843543,"Requires the Commission to review and report on the Directive's implementation after 7 years, including whether thresholds, sector lists, annexes, and climate impact provisions need adjustment.",NOISE,"The org's position is a general concern that sustainable corporate governance proposals pursued through company law will harm European competitiveness and access to capital — it does not take any specific stance on review mechanisms, timelines, or the criteria for evaluating the Directive's implementation. The org text contains no directional advocacy position that can be meaningfully tied to this review provision.",1,False
ACV-CSC,,hys_feedback,0,0,0,article,18,Powers of supervisory authorities,0.851252,"Establishes powers and resources for supervisory authorities to investigate, inspect, and sanction companies for non-compliance with the directive's obligations, including ordering cessation of infringements, imposing pecuniary sanctions, and adopting interim measures.",UNDETECTABLE,"ACV-CSC specifically advocates that disregarding workers' information and consultation rights must be met with ""serious and effective sanctions,"" which connects to the provision's establishment of supervisory authority powers to impose sanctions. However, the provision does not specifically address workers' information and consultation rights — it establishes a general enforcement mechanism for all obligations under the directive, and it is genuinely unclear whether the directive's scope as enforced here would cover the specific workers' rights ACV-CSC is advocating for, making the directional alignment ambiguous.",1,False
Anti-Slavery International,464644816865-02,hys_feedback,1,0,1,article,1,Subject matter,0.870239,"Establishes the subject matter of the Directive, covering obligations for companies regarding human rights and environmental adverse impacts across their own operations, subsidiaries, and value chain business relationships, and liability for violations of those obligations.",ALIGNED,"The organisation explicitly advocates for corporate liability for human rights and environmental adverse impacts across global value chains, operations, and business relationships — precisely what Article 1 establishes as the Directive's subject matter. The provision directly delivers on the org's core ask by creating a legal framework covering both due diligence obligations and liability for violations across the value chain, aligning with the org's specific directional demands.",2,False
Anti-Slavery International,464644816865-02,hys_feedback,1,0,1,article,10,Monitoring,0.861868,"Requires companies to periodically assess their own operations, subsidiaries, and established business relationships at least every 12 months to monitor the effectiveness of their due diligence measures against human rights and environmental adverse impacts, and update their due diligence policy accordingly.",ALIGNED,"Anti-Slavery International explicitly advocates for mandatory, enforceable due diligence legislation requiring businesses to respect human rights and the environment across their supply chains. Article 10 delivers concrete mandatory monitoring and assessment obligations on companies covering their value chains — directly acting in the direction the organisation advocated for. The provision is a substantive enforcement mechanism within the very type of mandatory due diligence legislation the organisation called for.",2,False
Anti-Slavery International,464644816865-02,hys_feedback,1,0,1,article,13,Guidelines,0.86089,"Authorises the Commission to issue optional guidelines to support companies and Member State authorities in fulfilling due diligence obligations, including for specific sectors or adverse impacts.",NOISE,"The organisation's text is a general call for mandatory, enforceable cross-sectoral due diligence legislation, with no specific position on whether the Commission should or should not issue guidelines to support implementation. The org text does not address the subject of guidelines at all, making it unrelated to this specific provision.",1,False
Anti-Slavery International,464644816865-02,hys_feedback,1,0,1,article,18,Powers of supervisory authorities,0.855479,"Establishes that supervisory authorities must have adequate powers and resources to investigate, enforce compliance, impose sanctions, and order remedial action against companies breaching due diligence obligations.",ALIGNED,"Anti-Slavery International explicitly advocates that competent administrative authorities must have the mandate to investigate potential infringements, enforce compliance, penalise infringements, and act on their own initiative — all of which Article 18 concretely delivers by granting supervisory authorities powers to investigate (including on own motion), order cessation of infringements, impose pecuniary sanctions, and adopt interim measures. The provision directly responds to the organisation's specific asks regarding enforcement powers and own-initiative investigations.",1,False
Anti-Slavery International,464644816865-02,hys_feedback,1,0,1,article,22,Civil liability,0.870288,"Establishes civil liability for companies that fail to comply with due diligence obligations under Articles 7 and 8, including a safe harbour for indirect partners where adequate actions were taken, and ensures liability rules are of overriding mandatory application.",ALIGNED,"The organisation explicitly advocates for civil liability grounded in failure to carry out due diligence, liability for harm caused or contributed to within global value chains, and stricter liability in certain situations — all of which the provision delivers by making companies liable when they fail their due diligence obligations under Articles 7 and 8. However, the provision also includes a safe harbour for indirect partners (paragraph 2) and does not explicitly address joint and several liability or burden-of-proof shifting as the org requested, meaning the provision acts broadly in the direction the org advocated (due-diligence-based civil liability) even if it does not fulfil every specific ask.",1,False
Anti-Slavery International,464644816865-02,hys_feedback,1,0,1,article,4,Due diligence,0.881727,"Requires Member States to ensure companies conduct human rights and environmental due diligence through a set of defined actions including policy integration, impact identification, prevention/mitigation, complaints procedures, monitoring, and public communication.",ALIGNED,"The org explicitly advocates that due diligence obligations must be established as a basis for liability and that Member States must ensure robust enforcement of these obligations. Article 4 directly establishes mandatory due diligence requirements for companies, acting in the same direction the org advocates — creating the due diligence framework that the org argues should underpin liability and enforcement. While the provision does not itself address liability or remedy (which the org also calls for), it concretely delivers the due diligence obligations the org specifically demanded as a prerequisite for those mechanisms.",2,False
Anti-Slavery International,464644816865-02,hys_feedback,1,0,1,article,6,Identifying actual and potential adverse impacts,0.868756,"Requires companies to identify actual and potential adverse human rights and environmental impacts across their own operations, subsidiaries, and established business relationships in their value chains, with specific derogations for certain sectors and financial service providers.",ALIGNED,"Anti-Slavery International explicitly advocates for cross-sectoral legislation covering all business enterprises including financial institutions, recognising that both small and large enterprises are part of the same value chain and that the focus must be on identifying and mitigating risks across the entire value chain. Article 6 directly establishes an obligation to identify adverse impacts across a company's value chain (own operations, subsidiaries, and established business relationships), and explicitly addresses financial institutions (Article 3(a)(iv)). The provision acts in the direction the organisation advocated — mandatory identification of risks across the value chain for all sectors including financial institutions — though the org may have concerns about the derogations and limitations introduced.",2,False
Anti-Slavery International,464644816865-02,hys_feedback,1,0,1,article,9,Complaints procedure,0.868754,"Establishes a complaints procedure requiring companies to allow affected persons, trade unions, workers' representatives, and civil society organisations to submit complaints about adverse human rights and environmental impacts, and sets out follow-up rights for complainants.",UNDETECTABLE,"Anti-Slavery International specifically advocates for corporate liability, judicial remedy, burden of proof shifting, and effective enforcement mechanisms for victims — going well beyond a complaints procedure. Article 9 creates an internal company complaints mechanism, which is a form of non-judicial grievance mechanism, whereas the org explicitly calls for judicial remedy and legal liability. There is a real connection (both concern access to remedy and enforcement of due diligence obligations), but it is genuinely unclear whether this provision satisfies, contradicts, or merely partially addresses the org's specific demands for judicial liability and effective remedy, as the provision does not establish liability or judicial access.",1,False
Assonime,15491122381-71,hys_feedback,0,0,0,article,14,Accompanying measures,0.858375,"Requires Member States to set up support mechanisms (websites, platforms, portals) for companies and SMEs in value chains, allows financial support for SMEs, and permits companies to rely on industry schemes and multi-stakeholder initiatives to fulfil due diligence obligations.",UNDETECTABLE,"Assonime's position focuses on limiting the scope of due diligence obligations (first-tier supply chains only, larger companies only, excluding SMEs from obligations). Article 14 addresses supporting measures and implementation tools rather than the scope of obligations, and while it does include SME-specific support provisions, it does not directly respond to Assonime's core asks about limiting scope or excluding SMEs from obligations. There is a tangential connection (SMEs are mentioned in both), but it is genuinely unclear whether this provision satisfies, contradicts, or ignores Assonime's specific advocacy positions.",2,False
Assonime,15491122381-71,hys_feedback,0,0,0,article,17,Supervisory Authorities,0.850735,Establishes the framework for designating national supervisory authorities responsible for overseeing company compliance with due diligence obligations under the directive.,NOISE,"The organisation's position focuses on concerns about disclosure of sustainability targets, directors' liability, remuneration policies, and the NFRD revision — none of which relate to the designation or structure of national supervisory authorities. There is no substantive advocacy position in the org text that connects to the provision's subject matter.",1,False
Assonime,15491122381-71,hys_feedback,0,0,0,article,26,Setting up and overseeing due diligence,0.855172,"Requires Member States to ensure that company directors are personally responsible for putting in place, overseeing, and adapting corporate strategy based on due diligence actions, including consideration of stakeholder and civil society input.",ALIGNED,"Assonime explicitly calls for the Commission to consider measures aimed at including stakeholder interests and corporate sustainability risks into corporate strategy, and Article 26 directly mandates directors to adapt corporate strategy based on identified adverse impacts and to consider stakeholder input — acting in the same direction the org advocated. The org's reference to exploring how directors should ""take into account all stakeholders' interests"" for long-term sustainability aligns with the provision's concrete requirement for directors to do exactly that.",1,False
Assonime,15491122381-71,hys_feedback,0,0,0,article,29,Review,0.844749,"Requires the Commission to submit a review report evaluating the Directive's effectiveness, including whether thresholds, sector lists, annexes, and climate impact provisions need modification.",NOISE,"The org's position focuses on caution around sustainability targets, liability for directors, and directors' remuneration under the Shareholders Rights Directive — none of which directly relate to the review mechanism established in Article 29. There is no specific advocacy position expressed by Assonime regarding the review clause, its timing, or the criteria it should assess.",1,False
Assonime,15491122381-71,hys_feedback,0,0,0,article,8,Bringing actual adverse impacts to an end,0.868614,"Requires companies to take specific actions to bring actual adverse impacts to an end, including corrective action plans, contractual cascading obligations down the value chain beyond direct partners, and as a last resort, suspension or termination of business relationships.",OPPOSING,"Assonime explicitly advocates for limiting due diligence obligations to the first tier of the supply chain only, arguing that further obligations down the supply chain are ""legally uncertain and practically impossible."" Article 8, however, establishes contractual cascading obligations (Art. 8(3)(c)) requiring companies to seek assurances from indirect partners further down the value chain, directly contradicting Assonime's position. Additionally, Assonime calls for focusing only on companies with significant market power over their supply chain, while the provision imposes broad obligations without such a market-power threshold.",2,False
BETTER FINANCE - the European Federation of Investors and Financial Services Users,24633926420-79 ,hys_feedback,0,0,0,article,25,Directors’ duty of care,0.861142,"Requires directors of in-scope companies to take into account sustainability matters (including human rights, climate change, and environmental consequences) across short, medium, and long-term horizons when fulfilling their duty to act in the best interest of the company, and ensures member states apply breach-of-duty provisions to this article.",ALIGNED,"BETTER FINANCE explicitly advocates for directors to take into account all stakeholders' interests relevant to long-term sustainability — including environmental, human rights, and climate considerations — as part of their duty of care, and calls for enforcement mechanisms accompanying these duties. Article 25 directly delivers this by legally requiring directors to consider sustainability matters (human rights, climate change, environmental consequences) across short, medium, and long-term horizons and by mandating that member states apply breach-of-duty provisions to enforce compliance, closely matching the org's specific asks.",1,False
BETTER FINANCE - the European Federation of Investors and Financial Services Users,24633926420-79 ,hys_feedback,0,0,0,article,3,Definitions,0.848404,"Establishes definitions for key terms used in the Directive, including 'company', 'adverse environmental impact', 'adverse human rights impact', 'value chain', 'stakeholders', 'director', 'board of directors', and 'appropriate measure', among others.",NOISE,"The provision is purely definitional, establishing the meaning of terms used throughout the Directive without taking any concrete regulatory action. While BETTER FINANCE's position touches on related subjects (directors' duties, stakeholders, sustainability), their advocacy is directed at substantive obligations and mechanisms, not at how terms are defined — and the org text itself is largely a general endorsement of the Commission initiative without a specific directional stance on definitions.",1,False
Business & Human Rights Resource Centre,,hys_feedback,0,0,0,article,13,Guidelines,0.858267,"Authorises the Commission to issue optional guidelines to support companies and Member State authorities in fulfilling due diligence obligations, including for specific sectors or adverse impacts.",NOISE,"The organisation's text is a general endorsement welcoming the Commission's legislative initiative on mandatory human rights and environmental due diligence, without expressing any specific position on whether or how guidelines should be issued to support companies. The org advocates broadly for binding due diligence standards but takes no directional stance on the provision's specific mechanism of optional Commission guidelines.",1,False
"CBS LAW, Copenhagen Business School",,hys_feedback,0,0,0,article,3,Definitions,0.84501,"Article 3 establishes a comprehensive set of definitions for key terms used throughout the Directive, including 'company', 'adverse environmental impact', 'adverse human rights impact', 'value chain', 'stakeholders', 'director', and others relevant to corporate due diligence obligations.",NOISE,"The organisation's text is a historical and comparative legal description of the definition of a company (bolag) under Nordic/Scandinavian corporate law, containing no specific advocacy position or directional stance on any aspect of the Directive's definitions or due diligence framework. It reads as academic background material with no substantive lobbying position that could be evaluated against the provision.",1,False
Change The Law Limited,,hys_feedback,0,0,0,article,1,Subject matter,0.873666,"Establishes the subject matter of the Directive, covering obligations for companies regarding human rights and environmental adverse impacts across their own operations, subsidiaries, and value chain, and liability for violations of those obligations.",ALIGNED,"The organisation explicitly advocates for a broad human rights and environmental due diligence requirement that goes beyond mere reporting, includes liability/penalties for non-compliance, and covers value chain operations — all of which are directly reflected in Article 1's establishment of binding obligations and liability across a company's own operations, subsidiaries, and value chain. The provision takes concrete action in the same direction the organisation advocated for, particularly on the scope of due diligence and the inclusion of liability mechanisms.",1,False
Change The Law Limited,,hys_feedback,0,0,0,article,10,Monitoring,0.865699,"Requires companies to carry out periodic assessments (at least every 12 months) of their own operations, subsidiaries, and business relationships to monitor the effectiveness of their human rights and environmental due diligence measures, updating their due diligence policy accordingly.",ALIGNED,"The organisation explicitly advocates for monitoring compliance with all six steps of human rights and environmental due diligence, including public supervision and continuous improvement in corporate behaviour. Article 10 directly establishes a mandatory periodic monitoring regime for companies' due diligence effectiveness, which aligns with the organisation's specific call for monitoring mechanisms tied to human rights and environmental due diligence steps.",1,False
Change The Law Limited,,hys_feedback,0,0,0,article,13,Guidelines,0.865483,"Authorises the Commission to issue optional guidelines to support companies and Member State authorities in fulfilling due diligence obligations, including for specific sectors or adverse impacts.",UNDETECTABLE,"The org specifically advocates for clear, binding language with little room for interpretation, a liability regime, and an EU body to assess methodologies and supervise compliance — positions that suggest a preference for hard obligations over soft guidance. Article 13 provides only optional Commission guidelines, which could be seen as insufficient relative to the org's calls for clarity and binding requirements, but the org does not explicitly oppose guidelines as a mechanism. There is a real connection (the org's concern about clarity and methodology support touches on what guidelines could address), but it is genuinely ambiguous whether this permissive, soft-law provision satisfies, contradicts, or simply falls short of the org's specific asks.",1,False
Change The Law Limited,,hys_feedback,0,0,0,article,17,Supervisory Authorities,0.853977,"Establishes national supervisory authorities in each Member State to oversee company compliance with due diligence obligations, defining their competence, independence, and coordination requirements.",OPPOSING,"The organisation explicitly advocates (point 19) for an EU-level body to supervise or at least coordinate supervision of compliance, whereas the provision establishes a decentralised, Member State-based supervisory framework with no EU-level supervisory body. The provision does the opposite of what the organisation asked for in terms of the level at which supervision is organised.",1,False
Change The Law Limited,,hys_feedback,0,0,0,article,20,Sanctions,0.862434,"Requires Member States to establish effective, proportionate, and dissuasive sanctions for infringements of the Directive, including pecuniary sanctions based on turnover, with publication of decisions, and accounting for company compliance efforts.",UNDETECTABLE,"The organisation specifically advocates for a civil liability regime and private enforcement mechanisms (points 15, 20), which go beyond the administrative sanctions framework established in Article 20. The provision creates a public enforcement/sanctions regime but does not address the civil liability or private enforcement mechanisms the org explicitly calls for. There is a genuine connection (both concern consequences for non-compliance), but the provision's public sanctions-based approach neither clearly satisfies nor directly contradicts the org's specific ask for civil liability and private enforcement — making the direction genuinely ambiguous.",2,False
Change The Law Limited,,hys_feedback,0,0,0,article,22,Civil liability,0.86931,"Establishes civil liability for companies that fail to comply with due diligence obligations under Articles 7 and 8, including a defence where companies have taken appropriate actions regarding indirect business partners, and ensures this liability is of overriding mandatory application.",ALIGNED,"The organisation explicitly advocated for a civil liability regime triggered by failure to undertake human rights and environmental due diligence (point 15), a defence against liability where reasonable and appropriate due diligence has been undertaken (point 17), and facilitation of civil enforcement including private enforcement (point 20). Article 22 directly delivers all three: it creates civil liability for non-compliance with due diligence obligations, provides a safe harbour/defence where companies have taken appropriate actions, and establishes a civil liability framework applicable across Member States — closely matching the organisation's specific asks.",2,False
Change The Law Limited,,hys_feedback,0,0,0,article,4,Due diligence,0.892526,"Establishes mandatory human rights and environmental due diligence obligations for companies, requiring them to integrate due diligence into policies, identify adverse impacts, prevent/mitigate them, maintain complaints procedures, monitor effectiveness, and publicly communicate on due diligence.",ALIGNED,"The organisation explicitly advocates for a broad, actionable human rights and environmental due diligence requirement that goes beyond mere reporting, includes complaints mechanisms with penalties for non-compliance, and incorporates mitigating factors for companies that demonstrate due diligence compliance — all of which are directly reflected in Article 4's concrete obligations (complaints procedure under Art. 9, monitoring under Art. 10, public communication under Art. 11, and the overall due diligence framework). The provision takes concrete action in the same direction the organisation advocated, including the specific ask that due diligence go beyond reporting.",4,False
Change The Law Limited,,hys_feedback,0,0,0,article,6,Identifying actual and potential adverse impacts,0.881259,"Requires companies to identify actual and potential adverse human rights and environmental impacts across their operations, subsidiaries, and value chains, including through consultations with potentially affected groups such as workers and other relevant stakeholders.",ALIGNED,"The organisation explicitly advocates for a broad human rights and environmental due diligence requirement that is sector-specific and includes a stakeholder consultation process involving vulnerable groups — both of which are directly reflected in Article 6, which mandates impact identification across value chains (with sector-specific derogations in paragraph 2) and requires consultations with potentially affected groups including workers and other relevant stakeholders. The provision acts concretely in the direction the organisation advocated for.",3,False
Change The Law Limited,,hys_feedback,0,0,0,article,7,Preventing potential adverse impacts,0.874324,"Requires companies to take specific measures to prevent or mitigate potential adverse human rights and environmental impacts, including developing prevention action plans in consultation with affected stakeholders, seeking contractual assurances, making investments, supporting SMEs, and as a last resort suspending or terminating business relationships.",ALIGNED,"The organisation explicitly advocates for mandatory due diligence covering all six OECD/UNGP steps, including step 3 (""Cease, prevent and mitigate adverse impacts"") and mandated stakeholder engagement. Article 7 directly delivers on these asks by requiring companies to take concrete prevention and mitigation actions and mandating that prevention action plans be developed in consultation with affected stakeholders, clearly responding to the organisation's specific advocacy positions.",3,False
Change The Law Limited,,hys_feedback,0,0,0,article,9,Complaints procedure,0.880432,"Establishes a mandatory complaints procedure requiring companies to allow affected persons, trade unions, workers' representatives, and civil society organisations to submit complaints about adverse human rights and environmental impacts, and requires companies to investigate and follow up on those complaints.",ALIGNED,"The organisation explicitly advocates for mechanisms that require companies to investigate adverse human rights complaints, with penalties for refusal to act, and for stakeholder consultation processes — all of which align with Article 9's mandatory complaints procedure that obliges companies to receive, process, and follow up on complaints from affected persons, workers' representatives, and civil society. The provision directly responds to the org's call for investigative obligations triggered by complaints, and the inclusion of civil society organisations and workers' representatives as eligible complainants reflects the org's push for broad stakeholder engagement in the due diligence process.",2,False
Climate Disclosure Standards Board ,922386710536-51,hys_feedback,0,0,0,article,15,Combating climate change,0.849201,"Requires large companies to adopt a transition plan compatible with the Paris Agreement's 1.5°C goal, include emission reduction objectives if climate is a principal risk/impact, and link variable director remuneration to fulfilment of these climate obligations.",ALIGNED,"The organisation explicitly advocates for strengthening corporate governance by integrating sustainability into business strategies and decisions, revising remuneration policies to reflect progress against green deal objectives, and improving governance of climate-related risks — all of which are directly delivered by Article 15, which mandates transition plans aligned with 1.5°C, emission reduction objectives, and links variable remuneration to climate plan fulfilment. The provision acts concretely in the same direction the organisation advocated for.",2,False
