organisation,transparency_reg_id,source_date,meetings_total,meetings_commission,meetings_ep,amendment_number,target_element,target_type,committee,similarity_score,provision_effect,label,reasoning,n_chunks,conflict
The Danish Chamber of Commerce,0330934426-12,2025-05-05,2,0,2,1138,Article 25 – paragraph 2,article,SANT,0.850498,"The amendment specifies that the Commission is represented by DG HERA in the Critical Medicines Group, and adds the European Parliament as an observer alongside the Agency.",NOISE,"The organisation's text contains only general support for the Critical Medicines Act and broad thematic objectives, with no specific directional stance on the composition of the Critical Medicines Group, the role of DG HERA, or the inclusion of the European Parliament as an observer. There is no substantive advocacy position that aligns with or opposes the direction of this amendment.",1,False
The Danish Chamber of Commerce,0330934426-12,2025-05-05,2,0,2,198,Recital 3,recital,SANT,0.851704,"The amendment replaces ""Union capacities"" with ""Member States' capacities"" and adds ""and its Member States"" to the actor reducing shortage risks, shifting emphasis from EU-level to Member State-level production capacity and action.",NOISE,"The organisation's text expresses general support for the CMA's objectives around supply security and reducing dependency on third countries, but takes no specific directional stance on whether production capacity and shortage-reduction responsibilities should be framed at the EU level versus the Member State level. The amendment's specific change — substituting ""Union"" with ""Member States'"" in describing production capacity gaps — is not a subject the organisation advocates on in any directional way.",1,False
The Danish Chamber of Commerce,0330934426-12,2025-05-05,2,0,2,196,Recital 3,recital,SANT,0.846194,"The amendment adds ""including starting materials, intermediates and other raw pharmaceutical materials"" to the description of supply chain vulnerabilities, and inserts ""as well as meaningful involvement of patient organisations from an early stage"" as an additional means of reducing shortage risks.",NOISE,"The organisation's matched text expresses only general support for the CMA's objectives and broad acknowledgment of supply chain complexity, without taking any specific directional stance on either expanding the definition of raw pharmaceutical materials or involving patient organisations in shortage prevention. The counterfactual test confirms this: an organisation with the opposite view on either change could produce equally matching text, making the position too vague to be directionally aligned or opposing.",1,False
The Danish Chamber of Commerce,0330934426-12,2025-05-05,2,0,2,197,Recital 3,recital,SANT,0.840328,"The amendment adds ""including starting materials, intermediates and other raw pharmaceutical materials"" to clarify the types of key ingredients and components that can cause supply chain disruptions.",NOISE,"The organisation's text acknowledges supply chain complexity and supports the general objectives of the CMA, but does not express any specific directional stance on whether the definition of supply chain vulnerabilities should be expanded to explicitly include starting materials, intermediates, and other raw pharmaceutical materials. The matched chunk is general background and endorsement without a specific position on this particular clarification.",1,False
The Danish Chamber of Commerce,0330934426-12,2025-05-05,2,0,2,309,Recital 21,recital,SANT,0.869564,"The amendment adds a specific reference to ""critical medicinal products needed to treat the most common rare diseases in the Union"" as a particular priority within the broader category of critical medicinal products eligible for financial support.",NOISE,"The Danish Chamber of Commerce expresses positions on the scope of the critical medicines list and the nature of financial support (positive incentives, avoiding restrictive requirements), but takes no directional stance on whether rare disease medicines should be specifically prioritised within financial support provisions. The amendment's specific addition — singling out rare disease medicines — is not addressed in any direction by the org's text, making this a subject mismatch rather than an ambiguous directional one.",1,False
The Danish Chamber of Commerce,0330934426-12,2025-05-05,2,0,2,305,Recital 21,recital,SANT,0.868405,"The amendment adds a sentence requiring that financial support for strategic projects be accompanied by transparency standards, supply obligations, and access requirements to maximise return on public investment.",OPPOSING,"The Danish Chamber of Commerce explicitly warns against ""restrictive local production requirements"" and stresses that support measures should be ""attractive and voluntary,"" cautioning that direct public support may disrupt market-driven development. The amendment moves in the opposite direction by mandating that financial support be tied to supply obligations and access requirements — precisely the kind of binding conditions the organisation argues against.",1,False
The Danish Chamber of Commerce,0330934426-12,2025-05-05,2,0,2,307,Recital 21,recital,SANT,0.868231,The amendment adds a sentence requiring that any Union and national public contributions and financial incentives align with broader public health goals and be supported by transparency standards.,UNDETECTABLE,"The Danish Chamber of Commerce supports targeted financial support and positive incentives for European production, but also warns against measures that disrupt market-driven development and stresses the importance of voluntary, attractive conditions. The amendment introduces a transparency and public health alignment requirement for public contributions — a condition the org neither explicitly advocates for nor opposes, and it is genuinely unclear whether this additional constraint would be seen as a welcome safeguard or an unwanted restriction on the flexibility of financial support mechanisms.",1,False
The Danish Chamber of Commerce,0330934426-12,2025-05-05,2,0,2,304,Recital 21,recital,SANT,0.867751,"The amendment adds a new sentence requiring that any public financial support be fully transparent, tied to supply and access obligations, subject to monitoring, and enforceable sanctions for non-compliance.",OPPOSING,"The Danish Chamber of Commerce explicitly warns that direct public support may disrupt market-driven development and advocates for voluntary, attractive conditions rather than restrictive obligations. The amendment moves in the opposite direction by attaching mandatory supply/access obligations, monitoring requirements, and enforceable sanctions to public financial support — precisely the kind of binding, restrictive conditionality the organisation cautioned against.",1,False
The Danish Chamber of Commerce,0330934426-12,2025-05-05,2,0,2,308,Recital 21,recital,SANT,0.867084,"The amendment adds a sentence requiring that State aid guidance align with public health goals and include transparency standards, supply obligations, and access requirements.",OPPOSING,"The Danish Chamber of Commerce explicitly warns against restrictive requirements and conditions attached to public support, stressing that support measures should be ""attractive and voluntary"" and avoid ""unintended consequences such as higher production costs."" The amendment moves in the opposite direction by adding mandatory transparency standards, supply obligations, and access requirements to State aid guidance — precisely the kind of binding conditions the organisation cautioned against.",1,False
The Danish Chamber of Commerce,0330934426-12,2025-05-05,2,0,2,400,Recital 37 a (new),recital,SANT,0.861614,"The amendment inserts a new recital establishing that DG HERA should represent the Commission in the Critical Medicines Coordination Group to ensure synergies between joint procurement, stockpiling, and supply chain coordination activities.",NOISE,"The organisation's matched text focuses on national stockpiling obligations, supply chain diversification, and avoiding unnecessary burdens on industry — none of which directly address the specific question of DG HERA's representation in the Critical Medicines Coordination Group. While the org mentions coordination between institutions and industry, this is too general to constitute a specific directional stance on the institutional arrangement this amendment introduces.",1,False
