organisation,transparency_reg_id,source_type,preproposal_meetings_total,preproposal_meetings_commission,preproposal_meetings_ep,article_type,article_number,article_title,similarity_score,provision_effect,label,reasoning,n_chunks,conflict
ARTICLE 19,594787238502-76,hys_feedback,2,2,0,article,14,Requests for enforcement of obligations by video-sharing platforms,0.849783,"Establishes a cross-border enforcement cooperation mechanism between national regulatory authorities for video-sharing platform obligations, including a mediation and opinion procedure via the Board.",UNDETECTABLE,"The org advocates for independent and accountable national regulatory authorities, EU-level harmonised enforcement, and inclusive stakeholder consultation — positions that are broadly related to the regulatory architecture this provision creates. However, the org's text does not specifically address cross-border enforcement requests between national authorities or the mediation/opinion mechanism established in Article 14, making it genuinely unclear whether the provision satisfies, contradicts, or ignores the org's specific advocacy positions.",1,False
ARTICLE 19,594787238502-76,hys_feedback,2,2,0,article,15,Guidance on media regulation matters,0.870994,"Establishes the Board's role in fostering best practices, assisting the Commission with guidelines, and facilitating stakeholder cooperation on media regulation matters, including on media ownership transparency and audiovisual prominence.",ALIGNED,"ARTICLE 19 explicitly advocates for transparent and inclusive stakeholder consultation by ERGA/the Board, and for EU-level action on media ownership transparency. Article 15 directly responds to both: it requires the Board to consult stakeholders when fostering best practices (Art. 15(1)), and specifically tasks the Board with assisting the Commission on making media ownership information accessible (Art. 15(2)(b)), aligning with ARTICLE 19's call for an EU-level registry on media ownership.",1,False
ARTICLE 19,594787238502-76,hys_feedback,2,2,0,article,16,Coordination of measures concerning media service providers established outside the Union,0.864505,"Establishes a coordination mechanism through the Board for national regulatory measures concerning media service providers established outside the Union that pose risks to public security and defence, with the Board able to issue opinions that national authorities must take into account.",NOISE,"The org's position focuses on PSM independence, regulator accountability, ownership restrictions, and diversity of exposure — none of which directly address the coordination of measures against non-EU media service providers posing security risks. The org text contains no substantive advocacy position on the specific mechanism established by Article 16, making the connection to this provision's subject matter absent or unrelated.",1,False
ARTICLE 19,594787238502-76,hys_feedback,2,2,0,article,17,Content of media service providers on very large online platforms,0.866367,"Establishes a self-declaration mechanism for media service providers on very large online platforms, requiring platforms to prioritise complaints, communicate reasons for suspensions, engage in dialogue, and publish transparency reports regarding content restrictions.",NOISE,"ARTICLE 19's position specifically advocates for structural unbundling of large platform services (functional separation of hosting from content curation) and user opt-in mechanisms — a structural remedy that Article 17 does not address at all. Article 17 instead creates a self-declaration and complaint-handling framework for media service providers on VLOPs. The org's position contains no specific stance on declaration mechanisms, suspension procedures, or transparency reporting, making the subjects substantively unrelated.",1,False
ARTICLE 19,594787238502-76,hys_feedback,2,2,0,article,20,National measures affecting the operation of media service providers,0.86471,"Requires national measures affecting media service providers to be justified, proportionate, transparent, non-discriminatory, and subject to appeal before an independent body, while also enabling Board and Commission oversight of such measures.",ALIGNED,"ARTICLE 19 explicitly calls for common criteria on administrative decisions affecting media outlets, including non-discrimination and proportionality, and for justified restrictions by Member States — which is precisely what Article 20 establishes by requiring national measures to be justified, proportionate, transparent, and non-discriminatory, with independent appeal mechanisms. The provision directly delivers the specific criteria the organisation advocated for regarding administrative decisions affecting media outlets.",1,False
ARTICLE 19,594787238502-76,hys_feedback,2,2,0,article,21,Assessment of media market concentrations,0.874182,"Requires Member States to establish substantive and procedural rules for assessing media market concentrations' impact on media pluralism and editorial independence, with harmonised criteria, advance notification, and involvement of national regulatory authorities, distinct from competition law assessments.",ALIGNED,"ARTICLE 19 explicitly advocates for harmonised procedures requiring Member States to systematically assess the impact of media market transactions on media pluralism, including a public interest test with harmonised criteria — which is precisely what Article 21 establishes. The provision directly delivers on the organisation's specific ask for mandatory, harmonised, pluralism-focused assessments of media market concentrations, including objective and non-discriminatory criteria applied consistently across Member States.",1,False
ARTICLE 19,594787238502-76,hys_feedback,2,2,0,article,24,Allocation of state advertising,0.862225,"Establishes transparent, objective, non-discriminatory criteria for allocating state advertising, requires public disclosure of advertising expenditure details, and mandates monitoring by national regulatory authorities.",ALIGNED,"ARTICLE 19 explicitly recommended that the EU framework include clear, objective and non-discriminatory allocation requirements, wide transparency on amounts and criteria, and a monitoring system by independent bodies — all of which Article 24 directly delivers through its non-discriminatory allocation criteria (para. 1), detailed public disclosure obligations (para. 2), and NRA monitoring mandate (para. 3). The provision responds point-by-point to the organisation's specific asks.",1,False
ARTICLE 19,594787238502-76,hys_feedback,2,2,0,article,5,Safeguards for the independent functioning of public service media providers,0.881983,"Establishes safeguards for public service media providers, including requirements for impartial information provision, transparent and non-discriminatory appointment procedures for management, adequate and stable financial resources to safeguard editorial independence, and designation of independent monitoring authorities.",ALIGNED,"ARTICLE 19 explicitly advocates for legislative guarantees of political, operational, and financial independence of public service media, a participatory and transparent appointment process for governance and managerial structures, adequate funding, and institutional autonomy with independent regulatory oversight. Article 5 directly delivers on each of these specific asks: it mandates transparent, open, and non-discriminatory appointment procedures; requires adequate and stable financial resources to safeguard editorial independence; and requires Member States to designate independent monitoring authorities — closely mirroring the organisation's concrete advocacy positions.",2,False
Bitkom e.V.,5351830264-31,hys_feedback,0,0,0,article,19,Right of customisation of audiovisual media offer,0.846468,"Establishes a user right to easily change default settings on devices and user interfaces to customise their audiovisual media offer, and requires manufacturers/developers to include such functionality when placing devices on the market.",OPPOSING,"Bitkom explicitly argues that prominence regulations at Member State level should not interfere with the ""design sovereignty of media (platform) service providers and device manufacturers"" and calls for fully harmonised, clear requirements that enable consistent product design. Article 19 imposes a mandatory customisation functionality requirement on device manufacturers and UI developers, directly constraining their design choices — which is precisely the type of regulatory intervention into device/UI design that Bitkom opposes. The provision thus does the opposite of what Bitkom advocates (i.e., limiting regulatory interference with manufacturer design sovereignty).",1,False
Bitkom e.V.,5351830264-31,hys_feedback,0,0,0,article,22,Opinions on media market concentrations,0.869191,"Establishes a mechanism whereby the Board, upon Commission request, draws up opinions on the impact of media market concentrations on media pluralism and editorial independence, with the Commission able to issue its own opinion, both made publicly available.",OPPOSING,"Bitkom explicitly argues there is ""no evidence for market failure related to concentration of media ownership which justifies new regulation in the media entertainment sector,"" directly opposing the creation of a new oversight mechanism for media market concentrations. The provision establishes exactly such a regulatory instrument — a Board opinion process on media market concentrations — which Bitkom argues is unjustified, at least for the entertainment sector.",1,False
