organisation,transparency_reg_id,source_type,preproposal_meetings_total,preproposal_meetings_commission,preproposal_meetings_ep,article_type,article_number,article_title,similarity_score,provision_effect,label,reasoning,n_chunks,conflict
Istituto Nazionale Tributaristi,027431725049-88,hys_feedback,0,0,0,article,1,Subject matter,0.845047,"Establishes the digital euro and lays down rules on its legal tender status, distribution, use, and essential technical features.",ALIGNED,"The organisation explicitly advocates for the introduction of the digital euro (""è plausibile, anzi auspicabile, l'introduzione della moneta unica europea in formato digitale"") and raises specific concerns about its distribution, use, costs, and acceptance — all of which are the precise subjects that Article 1 establishes as the scope of the Regulation. The provision takes concrete action in the exact direction the organisation advocated for, creating the legal framework for the digital euro's existence and governance.",1,False
Istituto Nazionale Tributaristi,027431725049-88,hys_feedback,0,0,0,article,12,Interaction between the digital euro and euro banknotes and coins,0.853635,"Establishes that the digital euro is convertible at par with euro banknotes and coins, and that payees must accept digital euro payments while payers may choose their preferred means of payment.",ALIGNED,"The organisation explicitly advocates for the continued guarantee of cash usage alongside the digital euro (""è essenziale continuare a garantire l'utilizzo di banconote e monete emesse dalla BCE, ovvero consentire l'uso del contante""). Article 12 directly responds to this by establishing at-par convertibility between the digital euro and physical euro banknotes/coins, and by preserving the payer's right to choose between the two means of payment — concretely ensuring that cash and digital euro coexist on equal footing, as the organisation requested.",1,False
Istituto Nazionale Tributaristi,027431725049-88,hys_feedback,0,0,0,article,14,Access to the digital euro in Member States whose currency is the euro,0.848195,"Establishes mandatory access to basic digital euro payment services for natural persons, including specific obligations for credit institutions and designated authorities, with particular provisions for digital inclusion support for vulnerable groups such as persons with disabilities, elderly people, and those with limited digital skills.",ALIGNED,"The organisation advocates for a simple, accessible digital euro system that avoids disparities and discrimination among European citizens, and calls for widespread communication and support to facilitate adoption — directly echoing the provision's concrete measures on digital inclusion support, face-to-face assistance for vulnerable groups, and universal access to basic digital euro services. The provision takes concrete action in the same direction the organisation advocates: ensuring broad, non-discriminatory access to the digital euro with dedicated support for those who may struggle to use it.",1,False
Istituto Nazionale Tributaristi,027431725049-88,hys_feedback,0,0,0,article,22,Accessibility and use,0.841302,"Establishes that the digital euro must have simple, easy-to-use features (including for persons with disabilities and older persons), comply with accessibility requirements, and that users shall not be required to hold non-digital euro accounts or accept other products.",ALIGNED,"The organisation explicitly advocates that the digital euro system should be as simple as possible (""tanto più semplice sarà il sistema del suo utilizzo"") and that simplicity will prevent disparities and discrimination among citizens. Article 22 directly delivers on this by mandating simple and easy-to-handle usage features, accessibility for persons with disabilities, and ensuring users are not burdened with requirements to hold other accounts — all concrete actions in the direction the organisation advocated.",1,False
"Pro Libertate - Institut práva a občanských svobod, z. s. ",10986511,hys_feedback,0,0,0,article,1,Subject matter,0.844079,"Establishes the digital euro as a legal instrument and lays down rules for its legal tender status, distribution, use, and essential technical features.",OPPOSING,"The organisation explicitly and forcefully requests that the Digital Euro Regulation not be adopted at all, calling it an attack on European currency and a tool for repressive control. The provision does the exact opposite of what the organisation advocates — it formally establishes the digital euro and sets out its governing rules.",2,False
"Pro Libertate - Institut práva a občanských svobod, z. s. ",10986511,hys_feedback,0,0,0,article,15,Principles,0.856384,Establishes principles for limiting digital euro holdings as a store of value and capping charges/fees for digital euro payments to merchants and natural persons.,OPPOSING,"The organisation explicitly requests that the Digital Euro Regulation not be adopted at all, viewing it as an attack on European currency and a repressive control mechanism. Article 15 is a substantive provision within that very regulation, establishing operational rules for the digital euro's use — directly contrary to the organisation's demand that the regulation be rejected entirely.",1,False
"Pro Libertate - Institut práva a občanských svobod, z. s. ",10986511,hys_feedback,0,0,0,article,16,Limits to the use of the digital euro as a store of value,0.844718,"Establishes a framework for the ECB to develop and apply instruments limiting the use of the digital euro as a store of value, including holding limits on digital euro payment accounts.",OPPOSING,"The organisation explicitly and forcefully demands that the digital euro regulation should not be adopted at all, arguing it serves no economic purpose and is a tool for repressive control. The provision, by contrast, actively establishes a concrete mechanism (holding limits and store-of-value instruments) within the digital euro framework — directly instantiating the regulation the organisation opposes.",1,False
"Pro Libertate - Institut práva a občanských svobod, z. s. ",10986511,hys_feedback,0,0,0,article,3,Establishment of the digital euro,0.841526,Establishes the digital euro as the digital form of the EU's single currency.,OPPOSING,"The organisation explicitly and forcefully requests that the Digital Euro Regulation not be adopted at all, describing it as an attack on European currency with no financial or economic justification and as a tool for repressive control. Article 3 directly establishes the very mechanism the organisation opposes, making this a clear case of opposition.",1,False
"Pro Libertate - Institut práva a občanských svobod, z. s. ",10986511,hys_feedback,0,0,0,article,5,Applicable law,0.851183,"Establishes the legal framework governing the digital euro, including applicable EU regulations, ECB measures, payment services directives, and anti-money laundering rules.",OPPOSING,"The organisation explicitly and emphatically demands that the digital euro regulation not be adopted at all, viewing it as an attack on freedoms and a tool for repressive control. The provision, by establishing the full legal framework governing the digital euro, directly instantiates the very regulation the organisation opposes.",2,False
"Pro Libertate - Institut práva a občanských svobod, z. s. ",10986511,hys_feedback,0,0,0,article,7,Legal tender status,0.843331,"Establishes mandatory legal tender status for the digital euro, requiring payees to accept it at full face value to discharge payment obligations.",OPPOSING,"The organisation explicitly requests that the Digital Euro Regulation not be adopted at all, viewing it as an attack on European currency and a repressive control mechanism. Article 7 directly establishes the core legal tender and mandatory acceptance framework that the organisation opposes, making this a clear case of opposition.",1,False
