organisation,transparency_reg_id,source_date,meetings_total,meetings_commission,meetings_ep,amendment_number,target_element,target_type,committee,similarity_score,provision_effect,label,reasoning,n_chunks,conflict
EUMEPS - European Manufacturers of Expanded Polystyrene,02100645398-66,2023-02-14,9,0,9,250,Recital 12,recital,ENVI,0.87709,"The amendment qualifies the goal of increased re-use of packaging by adding a condition that it must be supported by scientific evidence of best environmental outcomes and must account for challenges in Member States with limited water resources, thereby weakening the unconditional push for reuse.",ALIGNED,"EUMEPS explicitly argues that reuse requirements should be achievable, avoid encouraging long-distance return of empty packaging, and that a holistic, case-by-case environmental assessment (including CO2 emissions) is needed rather than a general preference for reuse. The amendment directly responds to this by conditioning the reuse goal on scientific evidence of best environmental outcomes, which aligns with EUMEPS's advocacy for evidence-based, life-cycle-informed decision-making over a strict reuse hierarchy.",1,False
EUMEPS - European Manufacturers of Expanded Polystyrene,02100645398-66,2023-02-14,9,0,9,252,Recital 12,recital,ENVI,0.872938,"The amendment adds a conditional clause to the promotion of re-use, requiring that re-usable packaging demonstrably achieves higher environmental benefits compared to single-use packaging before it is preferred.",ALIGNED,"EUMEPS explicitly advocates for a holistic, case-by-case environmental assessment when comparing single-use and reusable packaging, warning that a general preference for reuse could lead to more harmful alternatives (e.g. higher CO2 from collection, cleaning, and transport). The amendment directly responds to this by conditioning the promotion of re-use on a demonstrated environmental benefit over single-use packaging, moving the text precisely in the direction EUMEPS advocated for.",1,False
EUROPEN,0001976677-12,2023-03-08,44,6,38,324,Recital 25,recital,ENVI,0.882496,"The amendment expands the scope of EPR fee modulation criteria from recyclability alone to also include reusability and environmental performance, adding reusable packaging as an incentivised outcome alongside recyclable packaging.",NOISE,"EUROPEN's position on EPR focuses on improving governance, transparency, and oversight of EPR fees and their utilisation, and on harmonisation to avoid fragmented national measures — but does not take a specific directional stance on whether EPR fee modulation criteria should be broadened to include reusability/environmental performance alongside recyclability. Their text is too general and focused on different aspects of EPR governance to constitute a specific advocacy position on the direction this amendment takes.",1,False
EUROPEN,0001976677-12,2023-03-08,44,6,38,323,Recital 25,recital,ENVI,0.876669,"The amendment adds a requirement that extended producer responsibility fees be made transparent and easily accessible online, supplementing the existing text about harmonising EPR fee modulation criteria.",ALIGNED,"EUROPEN explicitly calls for improved ""governance and transparency of Extended Producers Responsibilities (EPR) schemes"" to ""ensure better oversight of EPR fees and their utilisation."" The amendment directly responds to this by adding a requirement for EPR fees to be made transparent and easily accessible online, moving the text in precisely the direction EUROPEN advocated.",1,False
EUROPEN,0001976677-12,2023-03-08,44,6,38,322,Recital 25,recital,ENVI,0.875724,"The amendment adds a requirement that EPR fees be earmarked to finance the net cost of collection, sorting and recycling of packaging, on top of the existing harmonisation of fee modulation criteria.",ALIGNED,"EUROPEN explicitly calls for ""better oversight of EPR fees and their utilisation"" and for mandatory obligations on Member States to invest in sorting and recycling infrastructure, directly advocating that EPR fees be directed toward collection, sorting and recycling. The amendment's addition — earmarking EPR fees to finance the net cost of collection, sorting and recycling — moves the text precisely in the direction EUROPEN advocated.",1,False
EUROPEN,0001976677-12,2023-03-08,44,6,38,321,Recital 25,recital,ENVI,0.874686,"The amendment adds a requirement that EPR fees be earmarked to finance the net cost of collection, sorting and recycling of packaging, on top of the existing harmonisation of fee modulation criteria.",ALIGNED,"EUROPEN explicitly calls for ""better oversight of EPR fees and their utilisation"" and for mandatory obligations on Member States to invest in sorting and recycling infrastructure, which directly aligns with the amendment's addition of earmarking EPR fees to finance collection, sorting and recycling costs. The amendment moves in the specific direction EUROPEN advocated — ensuring EPR fees are directed toward the infrastructure and activities they are meant to support.",1,False
EUROPEN,0001976677-12,2023-03-08,44,6,38,514,Recital 96,recital,ENVI,0.880238,"The amendment expands the recital to include e-commerce actors as producers responsible for end-of-life management, and adds references to promoting prevention and reusable packaging through a specific fund and ecomodulation principles, as well as separate collection, mixed waste sorting, and littering cost coverage.",ALIGNED,"EUROPEN explicitly advocates for improved governance and transparency of EPR schemes, mandatory collection requirements, and obligations for Member States to invest in sorting and recycling infrastructure. The amendment strengthens the recital by adding separate collection, mixed waste sorting, and littering cost coverage — directly responding to EUROPEN's call for stronger collection and infrastructure obligations within the EPR framework.",1,False
EUROPEN,0001976677-12,2023-03-08,44,6,38,515,Recital 96,recital,ENVI,0.872514,"The amendment removes references to ""packaged products"" and ""of packaging"" in the recital, narrowing the scope so that EPR responsibility applies to producers of packaging only, not producers of packaged products.",NOISE,"EUROPEN's position on EPR focuses on improving governance, transparency, and oversight of EPR fees and their utilisation — a directional stance about how EPR schemes should function. The amendment makes a textual/scoping change by removing ""packaged products"" and ""of packaging"" from the recital, which is a different directional question (who bears EPR responsibility) that EUROPEN's text does not address. The org's EPR-related advocacy is not specific enough to the scoping question the amendment resolves, and no counterfactual test can establish a directional alignment or opposition.",1,False
EUROPEN,0001976677-12,2023-03-08,44,6,38,567,Recital 136,recital,ENVI,0.870802,The amendment adds a requirement that the evaluation of the Regulation must include a dedicated section on the impact of the Regulation on the agri-food system.,ALIGNED,"EUROPEN explicitly calls on co-legislators to assess proposed measures against packaging functionalities including food waste reduction targets, safety requirements, consumer health, and product safety — all of which are directly relevant to the agri-food system. The amendment's addition of a dedicated evaluation section on the Regulation's impact on the agri-food system directly responds to EUROPEN's advocacy for a more thorough impact assessment that accounts for food-related considerations.",1,False
EUROPEN,0001976677-12,2023-03-08,44,6,38,462,Recital 67,recital,ENVI,0.88891,"The amendment removes the explicit reference to ""single use"" packaging and the HORECA ban, and instead adds a carve-out exempting single-use packaging from restrictions when it provides a better overall environmental, economic, and health outcome supported by life cycle thinking.",ALIGNED,"EUROPEN explicitly urged co-legislators to hold off on restrictions on single-use packaging until health, environmental, and food safety implications are properly assessed, and argued that reuse/refill targets should only apply when they make environmental and ecological sense without jeopardising health and safety. The amendment directly responds to this by introducing a life-cycle-based exemption for single-use packaging with better overall environmental, economic, and health outcomes, and by removing the blanket HORECA ban — moving the text in exactly the direction EUROPEN advocated.",1,False
