organisation,transparency_reg_id,source_type,preproposal_meetings_total,preproposal_meetings_commission,preproposal_meetings_ep,article_type,article_number,article_title,similarity_score,provision_effect,label,reasoning,n_chunks,conflict
ACE - The Alliance for Beverage Cartons and the Environment,57004293853-27,hys_feedback,0,0,0,article,56,Formal non-compliance,0.864639,"Establishes formal non-compliance procedures requiring Member States to mandate corrective action by economic operators for failures related to declarations of conformity, technical documentation, packaging restrictions, reuse/refill systems, and reuse/refill targets.",NOISE,"The organisation's text focuses on secondary raw materials, end-of-waste criteria, green procurement, and recyclability categorisation of beverage cartons — none of which relate to the formal non-compliance and enforcement mechanisms established in Article 56. There is no substantive advocacy position expressed on compliance procedures or enforcement mechanisms that could connect to this provision.",1,False
ACE Iberia,,hys_feedback,0,0,0,article,13,Obligations of manufacturers,0.859959,"Establishes detailed obligations for manufacturers when placing packaging on the market, including conformity assessment, technical documentation, labelling, identification markings, contact information, corrective measures, and cooperation with national authorities.",NOISE,"The organisation's position focuses on recycled materials in food contact materials, secondary raw materials, bio-based content treatment, and green procurement criteria — none of which relate to the manufacturer obligations (conformity assessment, technical documentation, labelling, identification, corrective measures) established in Article 13. There is no substantive advocacy position in the org text that connects to the specific procedural and administrative requirements set out in this provision.",1,False
ACE Iberia,,hys_feedback,0,0,0,article,25,Obligations related to refill,0.850247,"Establishes obligations for economic operators offering refill options, including informing end users of hygiene standards, container types, and health/safety responsibilities, ensuring refill stations meet requirements, and prohibiting free packaging at refill stations.",NOISE,"The organisation's position focuses on recycled materials in food contact materials, secondary raw materials, bio-based content treatment, and green procurement criteria — none of which relate to refill station obligations. There is no substantive advocacy position in the org text that connects to the refill obligations established in Article 25.",1,False
ACE Iberia,,hys_feedback,0,0,0,article,56,Formal non-compliance,0.862498,"Establishes a formal non-compliance framework requiring Member States to mandate economic operators to remedy specific packaging-related violations, including documentation, labelling, reuse, refill, and packaging format requirements, with escalating enforcement measures.",NOISE,"The organisation's text focuses on recycled content requirements, secondary raw materials, food contact materials, and green public procurement criteria — none of which relate to the formal non-compliance and enforcement mechanisms established in Article 56. There is no substantive advocacy position expressed by ACE Iberia on compliance procedures or market surveillance enforcement that could be evaluated against this provision.",1,False
AESGP – Association of the European Self-Care Industries,99565011637-64,hys_feedback,0,0,0,article,22,Restrictions on use of certain packaging formats,0.856178,"Prohibits economic operators from placing on the market packaging in certain formats listed in Annex V, with a derogation timeline for specific formats and a delegated power for the Commission to amend the list, while requiring consideration of alternative packaging solutions for contact-sensitive packaging and microbiological contamination prevention.",NOISE,"The org text provides general background on pharmaceutical packaging and patient safety considerations, and expresses broad support for environmental protection, but does not take a specific directional stance on restrictions of particular packaging formats or the mechanism established in Article 22. The text is essentially introductory/contextual, describing the pharmaceutical industry's general environmental efforts without advocating for or against any specific packaging restriction or derogation mechanism.",1,False
AESGP – Association of the European Self-Care Industries,99565011637-64,hys_feedback,0,0,0,article,34,EU declaration of conformity,0.852456,"Establishes requirements for the EU declaration of conformity for packaging, including its structure, content, translation obligations, and the manufacturer's responsibility for compliance.",NOISE,"The organisation's text is purely a list of reference documents (directives, guidelines, WHO technical reports) with no substantive advocacy position expressed regarding EU declarations of conformity or packaging compliance mechanisms. It contains no directional stance that could be evaluated against this provision.",1,False
AESGP – Association of the European Self-Care Industries,99565011637-64,hys_feedback,0,0,0,article,37,Waste management plans,0.843752,Requires Member States to include a dedicated chapter on packaging and packaging waste management in their waste management plans.,NOISE,"The org text provides background context on pharmaceutical packaging specificities and general environmental responsibility, but does not express any specific advocacy position on whether Member States' waste management plans should or should not include a dedicated chapter on packaging waste. The org's text is essentially introductory/contextual framing with no directional stance on this particular mechanism.",1,False
AGVU - Arbeitsgemeinschaft Verpackung + Umwelt,312033639778-56,hys_feedback,0,0,0,article,47,Rules on the calculation of the attainment of the recycling targets,0.865709,"Establishes detailed rules for calculating whether recycling targets have been attained, including how to measure packaging waste generated and recycled, treatment of composite packaging, exported waste, quality control, and specific counting rules for various recycling operations.",NOISE,"The organisation's position paper focuses on the revision of Essential Requirements for packaging (design, recyclability, waste hierarchy, CO2 balance, packaging reduction reporting), with no substantive advocacy position on the methodology for calculating recycling target attainment. The provision's subject — recycling calculation rules — is not addressed in the org's text, making this a subject mismatch rather than a genuine connection.",1,False
AIM - European Brands Association,1074382679-01,hys_feedback,0,0,0,article,13,Obligations of manufacturers,0.863911,"Establishes mandatory obligations for manufacturers when placing packaging on the market, including conformity assessment, technical documentation, labelling, identification markings, contact information, corrective measures, and cooperation with national authorities.",NOISE,"The org's position focuses on flexibility for innovation in packaging design, availability of secondary raw materials, recycled content uptake, and end-of-waste criteria — none of which relate to the manufacturer obligations (conformity assessment, technical documentation, labelling, identification, market surveillance cooperation) established in Article 13. There is no substantive advocacy position in the org text that addresses or responds to these procedural manufacturer obligations.",1,False
AIM - European Brands Association,1074382679-01,hys_feedback,0,0,0,article,16,Obligations of importers,0.860109,"Establishes specific obligations for importers regarding conformity assessment, labelling, documentation, contact information, storage, corrective measures, and cooperation with authorities for packaging placed on the market.",NOISE,"The organisation's position focuses on recycled content in packaging, secondary raw materials markets, end-of-waste criteria, and flexibility for innovation in packaging design — none of which relate to the importer obligations established in Article 16. The provision deals exclusively with administrative and compliance duties of importers, a subject on which the organisation expresses no advocacy position.",1,False
AIM - European Brands Association,1074382679-01,hys_feedback,0,0,0,article,2,Scope,0.85639,"Establishes the scope of the Regulation as applying to all packaging regardless of material and all packaging waste, while preserving existing Union regulatory requirements for safety, quality, health, hygiene, and transport.",ALIGNED,"AIM explicitly advocates for a holistic, EU-harmonised framework for packaging that does not divorce packaging design from product needs (safety, quality, hygiene) and calls for consistency with existing Essential Requirements. Article 2(2) directly preserves existing Union regulatory requirements for safety, quality, health protection, and hygiene of packed products, which aligns with AIM's position that packaging regulation must be addressed holistically and without undermining product-related requirements. The provision's explicit safeguard clause responds to AIM's concern that eco-design/packaging measures must not be taken in isolation from broader product and safety considerations.",1,False
AIM - European Brands Association,1074382679-01,hys_feedback,0,0,0,article,39,Register of producers,0.861083,"Establishes a mandatory producer registration system in each Member State for extended producer responsibility compliance, including application requirements, reporting obligations, and registration procedures for packaging producers.",NOISE,"The organisation's position focuses on recycled content markets, secondary raw materials availability, end-of-waste criteria, and flexibility for innovation in packaging design — none of which relate to the producer registration register established by Article 39. There is no substantive advocacy position expressed regarding producer registration systems or EPR administrative requirements.",1,False
AIM - European Brands Association,1074382679-01,hys_feedback,0,0,0,article,4,Free movement,0.8675,"Establishes free movement of packaging that complies with the Regulation's requirements, and prevents Member States from imposing additional conflicting national requirements that would restrict market access.",ALIGNED,"The organisation explicitly advocates for ""a consistent and harmonised set of signals for packaging design"" that would ""preclude divergent Member State provisions."" Article 4 directly delivers this by preventing Member States from prohibiting or restricting packaging that complies with the Regulation's requirements and ensuring national rules cannot conflict with the harmonised framework — a concrete action in exactly the direction the organisation advocated.",1,False
ALMA MATER STUDIORUM - UNIVERSITY OF BOLOGNA,096124310820-70,hys_feedback,0,0,0,article,34,EU declaration of conformity,0.85553,"Establishes the requirements and structure for the EU declaration of conformity for packaging, including its content, translation obligations, and the manufacturer's responsibility for compliance.",NOISE,"The organisation's text consists entirely of bibliographic references to existing EU legislative texts (Directive 2019/904 and Directive 2018/852), with no substantive advocacy position, directional stance, or specific ask related to EU declarations of conformity or any other topic. This is purely administrative/reference material with no lobbying content.",1,False
ALMA MATER STUDIORUM - UNIVERSITY OF BOLOGNA,096124310820-70,hys_feedback,0,0,0,article,37,Waste management plans,0.84195,Requires Member States to include a dedicated chapter on packaging and packaging waste management in their waste management plans.,NOISE,"The organisation's text consists entirely of bibliographic references to existing EU legislative documents (Directive 2019/904 and Directive 2018/852) with no substantive advocacy position, directional stance, or specific ask related to waste management plans or any other policy matter.",1,False
ALMA MATER STUDIORUM - UNIVERSITY OF BOLOGNA,096124310820-70,hys_feedback,0,0,0,article,49,Information on prevention and management of packaging waste,0.868053,"Requires producers or producer responsibility organisations to provide end-users with specific information on packaging waste prevention, re-use, separate collection, labelling, environmental impacts, and composting, via websites, public information, education campaigns, and signposting.",NOISE,"The organisation's text consists entirely of bibliographic references to existing EU legislative texts (the Single-Use Plastics Directive and the Packaging and Packaging Waste Directive amendment), with no substantive advocacy position expressed. There is no directional stance, specific ask, or policy argument that could be evaluated against the provision.",1,False
ALMA MATER STUDIORUM - UNIVERSITY OF BOLOGNA,096124310820-70,hys_feedback,0,0,0,article,60,Amendments to Regulation (EU) 2019/1020,0.881053,Amends Regulation (EU) 2019/1020 by adding the Single-Use Plastics Directive and the new Packaging and Packaging Waste Regulation to its scope (Annex I) and removing an existing point from Annex II.,NOISE,"The organisation's text is purely bibliographic — it consists of reference list citations to existing EU directives (the SUP Directive and the Packaging Directive amendment) with no substantive advocacy position, directional stance, or specific ask. There is no lobbying content to evaluate against the provision.",1,False
ALMA MATER STUDIORUM - UNIVERSITY OF BOLOGNA,096124310820-70,hys_feedback,0,0,0,article,61,Amendments to Directive (EU) 2019/904,0.846442,"Amends Directive (EU) 2019/904 by deleting specific points in Articles 6 and 13, and replacing Article 13(3) with updated reporting review requirements for the Commission.",NOISE,"The organisation's text is purely bibliographic/administrative in nature — it consists solely of citation references to EU directives (2019/904 and 2018/852) with URLs and access dates. There is no substantive advocacy position, directional stance, or specific ask expressed in the text.",1,False
