meeting_id,source,date,matched_keyword,text_excerpt,match_status,already_linked,would_add
0bf4cc6284635141aa7e6162db2606a8fa6cf2b4a0c11925234e35d76c5f1464,lobbying,2024-11-26,AI,AI,no_match,False,True
f4552d67807ba0956c34ec188f84facfb5f74e26618a397074737cb2021ce32b,lobbying,2024-11-26,AI,AI,no_match,False,True
f6002419f3b2fc931e2de2c69865c586fc66d44190618d7615f506607bb112d5,lobbying,2020-10-14,AI,AI-frågor,no_match,False,True
e5fdf7a8feca3755555ee3527a968000080825cc6b396aaad8527fcce7d8407a,lobbying,2023-05-18,AI,AI application in medical appliances,no_match,False,True
f9ddb86b4cb34b97c7dadc5ee44c33ed0345274e0ef0a684371495c839f63343,lobbying,2023-05-18,AI,AI and innovation,no_match,False,True
7e33c95f4d132520fba4d729396884de5660f0da643f0b34281168f9e3b0ad58,lobbying,2021-11-30,AI,Consumer and environmental effects of AI,no_match,False,True
ef076921c5c2a99b51d1e012b9c43eba196042331d34ebf4d119e99a5a9c8feb,lobbying,2023-10-10,AI,The impact of AI on the creative industry,no_match,False,True
a0d1f3af192dbff7ce8884a92b7604acf4bad761c3dcfae38f72ac251725a9c1,lobbying,2020-11-24,AI,AI and Data Strategy,no_match,False,True
ac8e13271a5f71f3fd7349c485623937fa74e3d9645f1498ea6744f59f9fa9c6,lobbying,2020-02-17,Artificial intelligence,Artificial intelligence (staff level),no_match,False,True
9f5a476370a417d2d7b15cb7d49d83ef9a4a2cc93bf77556eb29eb9fae576348,lobbying,2020-09-30,AI,AI & telecom,no_match,False,True
5f7501511de7658e754b243d152d7346dd40b32de074fefd8cf86cfc566beeb4,lobbying,2020-06-10,Artificial Intelligence,Artificial Intelligence and data economy,no_match,False,True
6d5296fa07d04aa26eafcabeea9ed6855474e688be7aa8e46d32a74496cf233e,lobbying,2020-12-11,artificial intelligence,EU digital policy - focus on artificial intelligence,no_match,False,True
38d4a327a22cb0c9a9b9232a06bed50d82e31d538af277bc313a5eb550aa8123,lobbying,2024-12-13,Artificial intelligence,Artificial intelligence and digital competitiveness,no_match,False,True
9d4bd8dc4909df61f8a849d2f30e5f1b7088d4063b36f9dde8489e7f04965836,lobbying,2021-06-03,Artificial Intelligence,Artificial Intelligence,no_match,False,True
d8b59a127c0ce826c678ab4aa6495b83af6c94cb1f434fbb77582f68f69c0b8b,lobbying,2024-12-05,AI,AI and Democracy,no_match,False,True
d0b8521f62ad75e090f2d5a5e5e5c260eb998bbedce295d2d35fa7720951c83c,lobbying,2024-10-09,AI,AI and gender biases,no_match,False,True
2be81dedd09581367348f9833bd0ea283565ab0fe352f7bc615b96eb915f10d3,lobbying,2024-06-19,AI,AI,no_match,False,True
a2cb812e6a0fda36ccdd19290804b53e548be840a410ad7510609a989dc42946,lobbying,2020-03-20,Artificial Intelligence,Artificial Intelligence: Oversight and enforcement,no_match,False,True
a06a38150eb7f05f2e17803e6cf2dbfeb1626526879e2ecd2d04c9383cc16dda,lobbying,2020-06-10,artificial intelligence,ethics on artificial intelligence,no_match,False,True
d50989a72e5c5d659d0fb3ce0d49ebe1770e2296032af749da3dab679d4dcc57,lobbying,2021-11-09,AI,AI-frågor (AI Advisory Board),no_match,False,True
1d5898c1255f2d2192b058693eff828e58d775d77137474035e201e765d79061,lobbying,2024-10-22,AI,Meeting on the UE digital and AI policies,no_match,False,True
1e9b17b7d37e4644cc9a1b9dba8148449dad81285dc6f4b180724afed5ef9f1d,lobbying,2020-09-30,artificial intelligence,"Cloud and 5G, skilling and employability, broadband connectivity, artificial intelligence, green recovery and data strategy",no_match,False,True
80af926aa419e9a635db8c7e5f576ca6318c085380116b6ab607d1d0f492956b,lobbying,2019-09-13,AI,"ITRE, AI, Carbon border tax (staff level)",no_match,False,True
ecf0cfaf75e5fe1a586451e8223bd34289f6fa51ecd1a545b674b48124df9551,lobbying,2024-11-06,AI,Industrial and AI policy,no_match,False,True
7fd1eebbecde4081f881621054ab22b68fe04d7ff40d84e13358c68569ffbbc6,lobbying,2020-03-06,AI,Civil liability regime for AI,no_match,False,True
5af49459f81a443bfddb011967287e9f536686bc633baa22e8b8c664bde324c9,lobbying,2021-10-25,AI,DSA / AI,no_match,False,True
b7f578d09d15c7b1cb8478fcb992826ebadba816d5f189c13db0e1fc41e739da,lobbying,2023-04-27,Artificial Intelligence,Artificial Intelligence,no_match,False,True
272da2f8c27e7dd1e9dc4ed46d73c1d5c70e13626a695c4ba96388a24dbb6654,lobbying,2023-10-12,AI,AI ecosystems,no_match,False,True
d6def87a35400de9e51d1e3098977e287d2ae9e8c31644c0748b3f377da48ab5,lobbying,2020-11-30,Künstliche Intelligenz,Künstliche Intelligenz,no_match,False,True
ae81c4fd70764eec6b186500893f3a47dc29959bd1f5f59f1c8127ea0ddcfa89,lobbying,2021-02-19,Artificial Intelligence,Artificial Intelligence in the automobile industry,no_match,False,True
33a8de9e03f147e53edc950abc53a1bd7cd02950650201cdd956230c1ccaf72b,lobbying,2023-10-13,AI,Talare: AI och digitalisering för Europa,no_match,False,True
8bf5c756d09c792217833a8153a4cdfee95b39c610c1ce337e7754e2d95aa4f9,lobbying,2022-03-31,Artificial Intelligence,Artificial Intelligence applied to the cycle of water,no_match,False,True
9e97c6f0e74c9e1d3ad2c04e23ec95f3baaf3f2ea5d5eca97de526ef251149d4,lobbying,2023-06-27,Artificial intelligence,Artificial intelligence in Occupied Palestinian Territories,no_match,False,True
f0d20a53cfdec25d636c1c8ab8e2643ce525b8e0ea6c8ce06324a4e1bf0dc649,lobbying,2021-09-29,AI,Exchange of views on AI,no_match,False,True
d8eee0365a93335e5fd624237d7c118b9f6cd5a4babc5fb0547bd45b2675d428,lobbying,2024-09-26,AI,Speaker AI-Act and beyond,no_match,False,True
fb3912496f273bb30547a19708479b6aac8cd9dcda7fc3d6573849aa2dc4b793,lobbying,2020-10-15,AI,AI,no_match,False,True
12cf792072bab9289e94b2eb5bcea3c8c872b55762ad59465d6c1581c3197a33,lobbying,2023-06-28,AI,AI Regulation and Copyright (staff level),no_match,False,True
8684f52e55382a11a54e77bd661eb9aebba316079fa28479bfc7144d660931ce,lobbying,2024-12-03,AI,AI,no_match,False,True
24df9142a6ee084bb02a06dfa4d1156590332c3bf35082ee7e792c39ff550dea,lobbying,2019-09-18,Artificial Intelligence,Artificial Intelligence and e-Commerce reform,no_match,False,True
e8e2720d149f043ac3ed40a8a22d97ded2a9c1f2fdbd90b7ef61f982c5e2474a,lobbying,2020-06-23,Artificial Intelligence,Artificial Intelligence,no_match,False,True
61a3fbf55422f60b62ae9e35282841e2602ca4d5ee72aaa3e79677ee46cd7756,lobbying,2023-05-29,AI,AI and digital policy,no_match,False,True
eea7d9f89ef835d9d6d956b942e9f8e58f76cfd58f984d3c972a4942a7d63e90,lobbying,2024-04-30,Artificial Intelligence,Artificial Intelligence,no_match,False,True
f6c76f8bb56bd8de55f68def57a94cbd7a0496ea12f8e0b3700ba3f0bd0a7144,lobbying,2020-10-14,Artificial Intelligence,Artificial Intelligence,no_match,False,True
685311d5b21b421362d230a9d3e97e7cf59bf657d75262eab0f0222153fbbb64,lobbying,2024-10-08,AI,AI and Copyrights,no_match,False,True
f43932335b1b3397f9a47f51f0a350291aefa4af85ad7f1b26fce6ed2faeefd9,lobbying,2024-10-30,AI,AI,no_match,False,True
fcb88d41dc243d6868c577c3a4b7b36904096762eede62cadb4579768316150b,lobbying,2020-07-07,Artificial Intelligence,Artificial Intelligence,no_match,False,True
f4e52decfe60fa26c94e25f5065d100d58143b55fbe7de61291cff8895f0075d,lobbying,2020-11-30,AI,AI- och molntjänstfrågor,no_match,False,True
c4e798debaf79994c34271868ccfd06e9cc75bc6fc0aebe42f88fc5e439d9a3d,lobbying,2023-03-07,AI,AI,no_match,False,True
3d9925f566580fc5cb29c73b5a16203761fbd6165c59fb4ecc62fb5d0ce465f0,lobbying,2024-05-01,AI,AI and defence,no_match,False,True
f6060158ff0cc9fea57b6e086693ae78048d077f3ba9ea415c0353223438498c,lobbying,2022-09-20,AI,Biometric mass surveillance and AI,no_match,False,True
b6936ebf6fbecf9c27f7d970b3fcad90334782b437a2dcf414532c0318258920,lobbying,2020-12-11,Artificial Intelligence,"Event: „The Hidden Dangers of Artificial Intelligence""",no_match,False,True
d5f98cec3778d62cec7baed7198cddb9342e42d10113b90a76af16922d4cfa13,lobbying,2024-11-04,AI,Meeting on the UE digital and AI policies,no_match,False,True
953aa4dd13b2b8ca26c3f42955420837bcbaee0876925288c9d6c994ad71966d,lobbying,2020-05-12,AI,Civil liability regime for AI,no_match,False,True
25f8843d3970067a91bdb1ab0fb94695716b05a2dae4ff19b648e3df8cde5456,lobbying,2020-10-19,AI,AI,no_match,False,True
09193b4d61a5bc102f00d048a975842aecbb749338bb3ed0d80e5eba0011b941,lobbying,2020-02-17,Intelligence artificielle,Intelligence artificielle,no_match,False,True
0a7b43d9e1f7ff91bad4f569934a0cbc92319abc09de732f14d1e1340e67abbf,lobbying,2020-02-21,Intelligence artificielle,Intelligence artificielle et mise en oeuvre du Règlement général sur la protection des données,no_match,False,True
9d5cc669539b5829e59ca8951fa40597adfe04a72e1b08fadd64e878fa5d17f2,lobbying,2021-09-08,AI,Exchange of Views (AI),no_match,False,True
63f2ad8deb111ecfce4cba3701a8a503eb20adf8d851965c47f954e32bcc8806,lobbying,2024-12-03,Artificial intelligence,Artificial intelligence and EU competitiveness,no_match,False,True
c4a96f6953eb303c756029d1f990a37772a374a97db1f0bf7e6f6743ae15c049,lobbying,2019-11-29,AI,"Automated systems, AI",no_match,False,True
6736b43ff61c19912e72f3cbf222e089edae8539de4b74773d993eb62ac0399e,lobbying,2019-12-03,Artificial Intelligence,Artificial Intelligence,no_match,False,True
9ece4aa4e88bca606c9be41eb7568c9db26a1033fb93a5ba66ff61949ebf9b48,lobbying,2019-12-04,Intelligence artificielle,"Intelligence artificielle et santé, résistance antimicrobienne et nouveaux vaccins",no_match,False,True
c21d8cbf253078385345929d1f465977e65abe54865a6400f30912715122e487,lobbying,2019-12-04,Artificial Intelligence,High-Level-Roundtable on Artificial Intelligence,no_match,False,True
cfd6a9ca4e5d72a5774bd91f28c8f3327e0eb67b2407579b9159e6847419b8ce,lobbying,2019-12-06,AI,EU's digital priorities including AI / DSA,no_match,False,True
03a772dfebe6500b504c1adde980e225df7b389c69e010b6dd73cd0e2229ce8e,lobbying,2019-12-12,Intelligence artificielle,Intelligence artificielle,no_match,False,True
b6e3e1a0631d497f9d75efc22e181ff8f478bb4aa3f8668e00454937c5305a09,lobbying,2019-12-12,Artificial Intelligence,Artificial Intelligence,no_match,False,True
ea51643edfb2f1fdf70a1c898163807d89a427cd15330875af65f2ded33a1260,lobbying,2019-12-12,intelligence artificielle,Cybersécurité et intelligence artificielle,no_match,False,True
03718e19061e9536d16ea41821419f41f4cf2355b0f7265de07208ea6dceea60,lobbying,2019-12-17,Artificial Intelligence,Digital Services and Artificial Intelligence,no_match,False,True
a9bbaade6256728e57ed96f1339456f4fc8b26a6cb4f3d90daaed39dc04dd23f,lobbying,2020-01-07,Intelligence artificielle,Intelligence artificielle,no_match,False,True
449373907b6f11bb4a0cd939707655bfb834b5311052b87dac42dceb3de47e05,lobbying,2020-01-09,Artificial intelligence,"Artificial intelligence in healthcare, Management of biomedical big data",no_match,False,True
9193ea833a8fee7efb1b2a6123f772d2484b8e4bca32aa4f7d3f26effeec14b6,lobbying,2020-01-20,Artificial Intelligence,Artificial Intelligence,no_match,False,True
19b6c1be5a61ce2fa9bb2559221f87e606db05b81d68ac28a9b40ec3c4694a7f,lobbying,2020-01-22,intelligence artificielle,Droits voisins et intelligence artificielle,no_match,False,True
